"stk","stkName","yr","cyc","rec","eff","ets","rec2","rec3","rec4","rec5","rec6"
2,"L. Stuart",2004,4,0.282697748,0.05131,0.083204,0,0.00022,0.263681,0.019016748,0
2,"L. Stuart",2005,1,0.11957769,0.164548,0.292637,0,8.9e-05,0.10460365,0.01497404,0
2,"L. Stuart",2006,2,0.174511128,0.014283,0.0271,0,3.7e-05,0.169236096,0.005275031,0
2,"L. Stuart",2007,3,0.013694277,0.004144,0.008067,0,4.8e-05,0.005160259,0.008534019,0
2,"L. Stuart",2008,4,0.189914145,0.057881,0.115325,0,0.000326,0.18324652,0.006667625,0
2,"L. Stuart",2009,1,0.230379484,0.043271,0.085806,0,4e-05,0.216742123,0.013637361,0
2,"L. Stuart",2010,2,0.170034817,0.043476,0.07373,0,0.000839,0.13504692,0.034987897,0
2,"L. Stuart",2011,3,0.009041344,0.000778,0.002026,0,0,0.003691344,0.00535,0
2,"L. Stuart",2012,4,NA,0.031771,0.056978,NA,NA,NA,NA,NA
2,"L. Stuart",2013,1,NA,0.070946,0.130493,NA,NA,NA,NA,NA
2,"L. Stuart",2014,2,NA,0.027869,0.048115,NA,NA,NA,NA,NA
2,"L. Stuart",2015,3,NA,0.00435,0.01095,NA,NA,NA,NA,NA
3,"Stellako",1948,4,0.207177,0.009242,0.015172,0,0,0.185175,0.022002,0
3,"Stellako",1949,1,0.179743,0.040231,0.070367,0,0.000133,0.173402,0.006341,0
3,"Stellako",1950,2,0.934487,0.07741,0.130439,0,0.00463,0.903768,0.030719,0
3,"Stellako",1951,3,0.455341,0.051413,0.090072,0,2.6e-05,0.354049,0.101292,0
3,"Stellako",1952,4,0.110678,0.01992,0.039217,0,2.3e-05,0.093984,0.016694,0
3,"Stellako",1953,1,0.174215,0.020388,0.040894,0,3e-05,0.156192,0.018023,0
3,"Stellako",1954,2,1.207988,0.072273,0.136439,0,0.003311,1.140205,0.067783,0
3,"Stellako",1955,3,0.629768,0.029937,0.049758,0,2.8e-05,0.602677,0.027091,0
3,"Stellako",1956,4,0.246643,0.021686,0.036747,0,9.2e-05,0.2204,0.026243,0
3,"Stellako",1957,1,0.151835,0.018044,0.036199,0,8e-06,0.143835,0.008,0
3,"Stellako",1958,2,0.339304,0.061581,0.11159,0,0.001156,0.323089,0.016215,0
3,"Stellako",1959,3,0.541403,0.041872,0.078251,0,1.7e-05,0.514918,0.026485,0
3,"Stellako",1960,4,0.164495,0.022718,0.037923,0,1.9e-05,0.14334,0.021155,0
3,"Stellako",1961,1,0.147114,0.018136,0.033366,0,0.000288,0.137046,0.010068,0
3,"Stellako",1962,2,0.589405,0.044532,0.084089,0,1e-04,0.572029,0.017376,0
3,"Stellako",1963,3,0.726949,0.041535,0.077725,0,0.000977,0.713487,0.013462,0
3,"Stellako",1964,4,0.177643,0.016161,0.030202,0,0.000194,0.170674,0.006969,0
3,"Stellako",1965,1,0.243472,0.020479,0.038255,0,0.000179,0.2311,0.012372,0
3,"Stellako",1966,2,0.359073,0.051509,0.095692,0,0.000833,0.336316,0.022757,0
3,"Stellako",1967,3,0.550236,0.032467,0.055008,0,0.000288,0.531886,0.01835,0
3,"Stellako",1968,4,0.129737,0.01368,0.026948,0,8.5e-05,0.1259,0.003837,0
3,"Stellako",1969,1,0.253114,0.025629,0.044324,0,0.000131,0.235729,0.017385,0
3,"Stellako",1970,2,0.232938,0.026727,0.041923,0,0.00117,0.228808,0.00413,0
3,"Stellako",1971,3,0.508759,0.020147,0.03858,0,0.000496,0.508759,0,0
3,"Stellako",1972,4,0.75601,0.019938,0.03532,0,0.000204,0.711226,0.044784,0
3,"Stellako",1973,1,0.08589,0.015424,0.029383,0,1.1e-05,0.075813,0.010077,0
3,"Stellako",1974,2,0.301286,0.023718,0.040008,0,0.001823,0.281752,0.019534,0
3,"Stellako",1975,3,1.897353,0.068451,0.111969,0,0.003852,1.832708,0.064645,0
3,"Stellako",1976,4,0.244207,0.063865,0.129085,0,0.00015,0.216701,0.027506,0
3,"Stellako",1977,1,0.265626,0.010894,0.020348,0,7.4e-05,0.209138,0.056488,0
3,"Stellako",1978,2,0.436545,0.032528,0.05736,0,0.00086,0.388505,0.04804,0
3,"Stellako",1979,3,0.623893,0.152583,0.269624,0,3.1e-05,0.478737,0.145156,0
3,"Stellako",1980,4,0.755199,0.028477,0.052417,0,0.000207,0.535944,0.219255,0
3,"Stellako",1981,1,0.28587,0.01203,0.021014,0,2.8e-05,0.234136,0.051734,0
3,"Stellako",1982,2,0.355873,0.034888,0.06295,0,0.0019,0.309369,0.046504,0
3,"Stellako",1983,3,1.256351,0.061357,0.111823,0,0.001129,1.097744,0.158607,0
3,"Stellako",1984,4,1.011019,0.032672,0.059694,0,0.00017,0.744589,0.26643,0
3,"Stellako",1985,1,0.128655,0.021969,0.040151,0,8.7e-05,0.097659,0.030996,0
3,"Stellako",1986,2,0.561822,0.044564,0.07486,0,2.3e-05,0.445398,0.116424,0
3,"Stellako",1987,3,0.435662,0.098179,0.183961,0,1.4e-05,0.353471,0.082191,0
3,"Stellako",1988,4,0.991341,0.200537,0.333462,0,0.000158,0.566227,0.425114,0
3,"Stellako",1989,1,0.222259,0.015903,0.038749,0,2.8e-05,0.127212,0.095047,0
3,"Stellako",1990,2,0.950691,0.056537,0.093359,0,0.001145,0.861027,0.089664,0
3,"Stellako",1991,3,0.33631,0.054349,0.094311,0,0.000259,0.299039,0.037271,0
3,"Stellako",1992,4,0.868186,0.055138,0.097338,0,0.000275,0.734393,0.133793,0
3,"Stellako",1993,1,0.309831,0.042861,0.087626,0,1.3e-05,0.068158,0.241673,0
3,"Stellako",1994,2,0.682058,0.063584,0.12298,0,0.000127,0.593409,0.088649,0
3,"Stellako",1995,3,0.183884,0.041135,0.087748,0,7.5e-05,0.127344,0.05654,0
3,"Stellako",1996,4,0.811978,0.167624,0.309564,0,1.6e-05,0.635499,0.176479,0
3,"Stellako",1997,1,0.125173,0.023241,0.051642,0,0,0.068515,0.056658,0
3,"Stellako",1998,2,0.637924,0.096961,0.182986,0,7.3e-05,0.504421,0.133503,0
3,"Stellako",1999,3,0.174462,0.06608,0.125908,0,0,0.143988,0.030474,0
3,"Stellako",2000,4,0.717671,0.195386,0.346687,0,0,0.647582,0.070089,0
3,"Stellako",2001,1,0.287128,0.06159,0.137938,0,0,0.20341,0.083718,0
3,"Stellako",2002,2,0.248328,0.177618,0.321556,0,4.7e-05,0.224262,0.024066,0
3,"Stellako",2003,3,0.049127,0.043829,0.07788,0,5e-06,0.034522,0.014605,0
3,"Stellako",2004,4,0.245749743,0.053755,0.08649,0,0.000153,0.213103,0.032646743,0
3,"Stellako",2005,1,0.011525429,0.102247,0.17455,0,1.2e-05,0.006640015,0.004885414,0
3,"Stellako",2006,2,0.472809606,0.079834,0.145611,0,8.7e-05,0.391375934,0.081433672,0
3,"Stellako",2007,3,0.137930334,0.019626,0.038803,0,2e-05,0.113252126,0.024678208,0
3,"Stellako",2008,4,0.273971835,0.073798,0.137941,0,0.000454,0.259519218,0.014452617,0
3,"Stellako",2009,1,0.199052964,0.01577,0.027404,0,0,0.151519373,0.047533591,0
3,"Stellako",2010,2,1.57086964,0.109383,0.195995254,0,0.012308,1.441852257,0.129017383,0
3,"Stellako",2011,3,0.051985325,0.025856,0.051111,0,0,0.042845325,0.00914,0
3,"Stellako",2012,4,NA,0.050572,0.078930486,NA,NA,NA,NA,NA
3,"Stellako",2013,1,NA,0.05413,0.097523,NA,NA,NA,NA,NA
3,"Stellako",2014,2,NA,0.240406,0.458126,NA,NA,NA,NA,NA
3,"Stellako",2015,3,NA,0.047613,0.09415,NA,NA,NA,NA,NA
4,"Bowron",1948,4,0.080266,0.012826,0.023945,0,0,0.080266,0,0
4,"Bowron",1949,1,0.062746,0.010744,0.019672,0,4.5e-05,0.062746,0,0
4,"Bowron",1950,2,0.074998,0.007352,0.014253,0,0.00055,0.065365,0.009633,0
4,"Bowron",1951,3,0.103443,0.010254,0.019186,0,0.000378,0.103443,0,0
4,"Bowron",1952,4,0.043296,0.008632,0.016461,0,8e-06,0.036992,0.006304,0
4,"Bowron",1953,1,0.075576,0.005741,0.011721,0,3e-06,0.070599,0.004977,0
4,"Bowron",1954,2,0.066264,0.004566,0.009283,0,0.000652,0.062971,0.003293,0
4,"Bowron",1955,3,0.096912,0.004472,0.008255,0,4.3e-05,0.092623,0.004289,0
4,"Bowron",1956,4,0.037746,0.003639,0.006174,0,0,0.027586,0.01016,0
4,"Bowron",1957,1,0.041966,0.006416,0.010603,0,0,0.041008,0.000958,0
4,"Bowron",1958,2,0.018112,0.008308,0.013104,0,4.3e-05,0.017945,0.000167,0
4,"Bowron",1959,3,0.061854,0.014614,0.025819,0,1.1e-05,0.056454,0.0054,0
4,"Bowron",1960,4,0.017729,0.003525,0.006728,0,4e-06,0.017278,0.000451,0
4,"Bowron",1961,1,0.028148,0.00368,0.006576,0,0,0.026835,0.001313,0
4,"Bowron",1962,2,0.021321,0.003219,0.00555,0,6e-06,0.018822,0.002499,0
4,"Bowron",1963,3,0.214288,0.011467,0.019275,0,2.8e-05,0.204973,0.009315,0
4,"Bowron",1964,4,0.027507,0.00069,0.001324,0,0,0.025416,0.002091,0
4,"Bowron",1965,1,0.017799,0.00117,0.002128,0,5e-05,0.01677,0.001029,0
4,"Bowron",1966,2,0.022249,0.001151,0.002092,0,0,0.021196,0.001053,0
4,"Bowron",1967,3,0.20637,0.013991,0.027981,0,0.000124,0.193857,0.012513,0
4,"Bowron",1968,4,0.043543,0.00171,0.003419,0,0,0.037393,0.00615,0
4,"Bowron",1969,1,0.017211,0.001936,0.003872,0,0,0.016003,0.001208,0
4,"Bowron",1970,2,0.015826,0.000497,0.000874,0,0.000371,0.015826,0,0
4,"Bowron",1971,3,0.124507,0.010761,0.019965,0,0,0.124161,0.000346,0
4,"Bowron",1972,4,0.016971,0.001969,0.003654,0,0,0.01686,0.000111,0
4,"Bowron",1973,1,0.010662,0.002012,0.004024,0,0,0.010538,0.000124,0
4,"Bowron",1974,2,0.017431,0.001046,0.00185,0,0,0.015702,0.001729,0
4,"Bowron",1975,3,0.122376,0.014735,0.026219,0,0.000122,0.121742,0.000634,0
4,"Bowron",1976,4,0.007112,0.001069,0.002037,0,0,0.007112,0,0
4,"Bowron",1977,1,0.015396,0.001214,0.002207,0,0,0.005875,0.009521,0
4,"Bowron",1978,2,0.040627,0.001678,0.002773,0,0,0.039903,0.000724,0
4,"Bowron",1979,3,0.029984,0.016178,0.030898,0,0,0.015714,0.01427,0
4,"Bowron",1980,4,0.04517,0.001376,0.002639,0,0,0.039381,0.005789,0
4,"Bowron",1981,1,0.016532,0.000562,0.001032,0,0,0.014724,0.001808,0
4,"Bowron",1982,2,0.005277,0.00099,0.001647,0,0,0.003066,0.002211,0
4,"Bowron",1983,3,0.038132,0.003484,0.005806,0,1.7e-05,0.036597,0.001535,0
4,"Bowron",1984,4,0.050591,0.004909,0.009563,0,1.2e-05,0.044712,0.005879,0
4,"Bowron",1985,1,0.019177,0.00303,0.005845,0,0,0.016449,0.002728,0
4,"Bowron",1986,2,0.021198,0.001396,0.002851,0,0,0.020562,0.000636,0
4,"Bowron",1987,3,0.02246,0.00566,0.011071,0,0.000132,0.018171,0.004289,0
4,"Bowron",1988,4,0.01305,0.007405,0.012464,0,0,0.011669,0.001381,0
4,"Bowron",1989,1,0.012842,0.001367,0.002534,0,0,0.004945,0.007897,0
4,"Bowron",1990,2,0.03113,0.005065,0.007513,0,0,0.018847,0.012283,0
4,"Bowron",1991,3,0.048625,0.00246,0.004919,0,0.000114,0.047542,0.001083,0
4,"Bowron",1992,4,0.012869,0.001117,0.00256,0,1.4e-05,0.010556,0.002313,0
4,"Bowron",1993,1,0.020467,0.000592,0.001184,0,0,0.016961,0.003506,0
4,"Bowron",1994,2,0.010849,0.001845,0.00438,0,0,0.006743,0.004106,0
4,"Bowron",1995,3,0.027351,0.013467,0.027558,0,4e-05,0.025092,0.002259,0
4,"Bowron",1996,4,0.026776,0.004055,0.008148,0,0,0.020695,0.006081,0
4,"Bowron",1997,1,0.005024,0.002119,0.004755,0,0,0.001335,0.003689,0
4,"Bowron",1998,2,0.017001,0.00283,0.004751,0,0,0.011272,0.005729,0
4,"Bowron",1999,3,0.019734,0.003295,0.008238,0,0,0.019734,0,0
4,"Bowron",2000,4,0.025283,0.00672,0.01248,0,0,0.023887,0.001396,0
4,"Bowron",2001,1,0.006825,0.002752,0.005504,0,0,0.004433,0.002392,0
4,"Bowron",2002,2,0.007674,0.004505,0.008433,0,0,0.007279,0.000395,0
4,"Bowron",2003,3,0.003792,0.003038,0.006076,0,0,0.003702,9e-05,0
4,"Bowron",2004,4,0.00609048,0.000458,0.000916,0,0,0.003008,0.00308248,0
4,"Bowron",2005,1,0.002258617,0.000866,0.00173,0,0,0.001876292,0.000382325,0
4,"Bowron",2006,2,0.017422871,0.000636,0.001432,0,0,0.014783217,0.002639654,0
4,"Bowron",2007,3,0.008378419,0.001075,0.002133,0,0,0.008358904,1.95e-05,0
4,"Bowron",2008,4,0.000782149,0.000275,0.000774,0,0,0.00023418,0.000547969,0
4,"Bowron",2009,1,0.006209484,0.000843,0.001686,0,0,0.004968249,0.001241236,0
4,"Bowron",2010,2,0.026627577,0.004095,0.008189,0,2.3e-05,0.023583475,0.003044102,0
4,"Bowron",2011,3,0.006158248,0.002037,0.003991,0,0,0.005197248,0.000961,0
4,"Bowron",2012,4,NA,3e-05,5.9e-05,NA,NA,NA,NA,NA
4,"Bowron",2013,1,NA,0.001924,0.003225,NA,NA,NA,NA,NA
4,"Bowron",2014,3,NA,0.006252,0.011419,NA,NA,NA,NA,NA
4,"Bowron",2015,4,NA,0.002211,0.00346,NA,NA,NA,NA,NA
