"stk","alpha","beta0","sigma","deviance"
1,1.311,1.492,0.8036,-94.13
1,1.524,0.6218,0.9591,-85.75
1,1.298,1.3,0.8534,-93.65
1,1.329,1.669,0.8661,-93.54
1,1.25,0.6482,0.7389,-91.57
1,1.38,1.378,0.8989,-92.8
1,1.31,0.542,0.7571,-91.73
1,1.119,0.8787,0.87,-90.05
1,1.348,0.9717,0.8096,-93.63
1,1.368,0.8334,0.8873,-92.09
1,1.301,0.5957,0.8214,-92.71
1,1.337,0.7626,0.8736,-92.44
1,1.217,1.657,0.6898,-87.77
1,1.504,1.52,0.8416,-92.39
1,1.342,1.202,0.8863,-93.05
1,1.612,2.716,0.7926,-90.51
1,1.543,1.712,0.7173,-89.42
1,1.524,1.921,0.8388,-92.69
1,1.335,1.499,0.8433,-94.04
1,1.328,1.149,0.6909,-90.73
1,1.287,1.134,0.781,-93.73
1,1.41,1.331,0.9019,-92.43
1,1.3,1.297,0.8004,-94.05
1,1.427,1.626,0.8245,-94.06
1,1.207,0.8425,0.829,-92.58
1,1.148,1.364,0.771,-89.78
1,1.313,1.165,0.9898,-89.39
1,1.368,1.331,0.8341,-94.07
1,1.326,1.097,0.7487,-93.24
1,1.185,1.311,0.8914,-91.01
1,1.275,0.8201,0.8134,-93.35
1,1.763,3.933,0.8777,-83.86
1,1.41,1.256,0.7995,-93.7
1,1.38,1.853,0.7727,-94.09
1,1.21,0.7315,0.9479,-89.97
1,1.285,2.039,0.8762,-91.98
1,1.329,1.521,0.7704,-94.03
1,1.399,1.461,0.9452,-91.28
1,1.333,0.5076,0.9294,-90.24
1,1.316,0.7514,0.7572,-92.54
1,1.35,2.282,0.774,-92.73
1,1.413,1.184,0.7862,-93.37
1,1.37,2.228,0.6807,-89.22
1,1.57,1.541,0.733,-88.34
1,1.468,2.164,0.7842,-93.63
1,1.275,1.534,0.7901,-93.53
1,1.226,1.191,0.7501,-92.15
1,1.377,2.176,0.8554,-93.32
1,1.323,1.753,0.8445,-93.74
1,1.485,3.14,0.85,-90.7
1,1.387,2.031,0.8702,-93.38
1,1.323,0.9656,0.8051,-93.72
1,1.37,2.501,0.8622,-92.15
1,1.329,1.552,0.6974,-91.42
1,1.084,1.222,0.9468,-86.73
1,1.075,0.6669,0.8917,-88.49
1,1.495,1.906,0.9548,-90.34
1,1.514,2.706,0.6841,-87.95
1,1.398,1.848,0.7622,-93.94
1,1.393,2.434,0.8267,-93.04
1,1.476,1.293,0.8138,-92.52
1,1.116,1.128,0.9784,-86.9
1,1.128,1.244,0.663,-82.41
1,1.292,0.5052,0.8287,-92.4
1,1.25,1.703,0.9054,-91.44
1,1.459,1.192,0.8817,-91.86
1,1.352,1.286,0.7008,-91.56
1,1.511,1.738,0.9329,-90.68
1,1.186,0.5433,0.8663,-91.52
1,1.367,1.022,0.8037,-93.6
1,1.291,1.225,0.8485,-93.65
1,1.412,2.172,0.723,-92.27
1,1.367,1.31,0.8076,-94.2
1,1.404,2.651,0.9428,-90.01
1,1.455,1.336,0.8583,-92.76
1,1.214,0.6668,0.9468,-89.98
1,1.474,1.328,0.8307,-92.65
1,1.436,1.877,0.806,-94.15
1,1.448,2.381,0.9023,-92.12
1,1.127,1.256,0.9154,-88.89
1,1.216,1.308,0.7649,-92.14
1,1.216,1.271,0.7159,-90.42
1,1.568,1.321,0.817,-89.57
1,1.401,1.986,0.8512,-93.81
1,1.458,1.406,0.8292,-93.22
1,1.262,0.7713,0.6906,-89.51
1,1.295,1.365,0.9097,-92.32
1,1.395,1.715,0.7858,-94.31
1,1.371,1.711,0.865,-93.74
1,1.574,3.193,0.9034,-89.48
1,1.145,0.6397,0.7639,-90.35
1,1.11,1.46,0.7582,-87.19
1,1.495,1.945,0.7808,-93.24
1,1.196,0.5641,0.953,-89.44
1,1.546,1.535,0.9354,-89.42
1,1.37,0.7762,0.7494,-91.84
1,1.241,1.532,0.7316,-91.41
1,1.496,2.637,0.7034,-89.71
1,1.496,1.456,0.8144,-92.54
1,1.302,0.7524,0.7523,-92.47
1,1.416,1.531,0.7817,-94.03
1,1.541,2.347,1.022,-87.05
1,1.512,1.967,0.7983,-93.07
1,1.577,0.5805,0.8913,-84.64
1,1.29,0.8707,0.9067,-92
1,1.157,0.8664,0.7696,-90.91
1,1.413,0.8868,0.8528,-92.23
1,1.276,0.6258,0.9069,-91.48
1,1.365,1.262,0.7954,-94.13
1,1.399,1.452,0.9988,-89.1
1,1.604,1.923,0.8321,-90.36
1,1.403,1.485,0.7759,-94.03
1,1.312,1.305,0.7178,-92.34
1,1.318,1.76,0.9883,-89.38
1,1.333,0.7263,0.8505,-92.74
1,1.285,1.644,1.062,-85.76
1,1.49,2.548,0.7856,-92.81
1,1.132,0.8434,0.9835,-87.41
1,1.466,2.075,0.7772,-93.64
1,1.189,0.7141,0.9547,-89.46
1,1.197,1.018,0.91,-91.06
1,1.386,2.772,0.8684,-91.18
1,1.556,2.896,0.7485,-90.29
1,1.24,0.5462,0.8007,-92.46
1,1.561,3.817,0.8963,-86.87
1,1.339,1.737,0.8183,-94.15
1,1.564,2.318,0.7162,-89.66
1,1.447,1.392,0.7573,-92.85
1,1.262,0.9349,0.7901,-93.37
1,1.367,0.8225,0.7641,-92.47
1,1.501,3.019,0.9404,-89.34
1,1.178,1.084,0.886,-91.21
1,1.293,1.058,0.7691,-93.53
1,1.306,0.4847,0.7828,-92.02
1,1.361,1.234,0.7804,-93.99
1,1.435,1.018,0.9476,-89.95
1,1.321,2.233,0.8499,-92.46
1,1.523,2.626,0.7783,-92.23
1,1.45,1.671,0.7085,-91.56
1,1.281,1.177,0.7833,-93.73
1,1.406,2.458,0.7779,-92.88
1,1.252,1.397,0.8848,-92.44
1,1.302,1.535,0.8929,-92.78
1,1.288,0.7406,0.7692,-92.82
1,1.446,2.485,0.7825,-93.06
1,1.152,0.4957,0.8216,-91.16
1,1.188,1.34,0.7888,-91.67
1,1.408,1.141,0.7551,-92.79
1,1.242,0.6793,0.743,-91.74
1,1.272,1.699,0.7198,-91.31
1,1.342,1.877,0.8136,-94
1,1.337,0.9973,0.8608,-93.27
1,1.424,0.5427,0.7832,-90.07
1,1.5,2.086,0.8109,-93.39
1,1.541,2.056,0.8915,-91.59
1,1.291,0.7605,0.7719,-92.93
1,1.451,2.46,0.9476,-90.54
1,1.253,2.025,0.8349,-91.75
1,1.205,1.17,0.8662,-92.12
1,1.426,1.688,0.886,-93.1
1,1.205,0.6156,0.9358,-90.19
1,1.464,2.978,0.7765,-91.01
1,1.333,0.789,1.032,-86.94
1,1.345,3.089,0.8708,-88.52
1,1.549,2.758,0.9386,-89.81
1,1.57,2.709,0.7689,-91.11
1,1.308,1.814,0.7832,-93.56
1,1.283,1.156,0.9397,-91.22
1,1.484,1.61,0.7914,-93.1
1,1.489,0.8721,0.8458,-90.28
1,1.356,1.163,0.8879,-92.92
1,1.317,1.192,0.7814,-93.97
1,1.338,1.173,0.9083,-92.42
1,1.258,1.29,0.8698,-92.92
1,1.487,2.512,0.8502,-92.81
1,1.391,1.016,0.7331,-91.93
1,1.227,0.8828,0.8473,-92.77
1,1.586,1.961,0.8519,-90.96
1,1.264,0.5653,0.7803,-92.42
1,1.37,1.743,0.9434,-91.46
1,1.446,2.886,0.7916,-91.57
1,1.32,1.566,0.7895,-94.13
1,1.254,1.402,0.8315,-93.3
1,1.256,1.257,0.7283,-92.01
1,1.35,1.422,0.7663,-94.04
1,1.367,2.415,0.8346,-92.74
1,1.398,0.6533,0.8604,-91.45
1,1.231,1.119,0.7742,-92.85
1,1.428,0.86,0.8176,-92.02
1,1.654,2.476,0.7733,-88.65
1,1.226,0.9631,0.9709,-89.46
1,1.304,1.385,0.8158,-94.08
1,1.454,1.106,0.7962,-92.34
1,1.338,0.5425,0.8271,-92.19
1,1.317,0.9107,0.8103,-93.61
1,1.277,2.138,0.9598,-89.17
1,1.385,2.486,0.7491,-91.87
1,1.234,1.445,0.9458,-90.31
1,1.215,1.342,0.7285,-90.87
1,1.44,1.282,0.8881,-92.31
1,1.322,0.6516,0.8774,-92.13
1,1.352,0.5132,0.8596,-91.61
1,1.411,0.9995,0.8036,-92.91
1,1.415,1.343,0.8487,-93.54
1,1.403,1.437,0.8258,-94.06
1,1.488,1.827,0.8826,-92.57
1,1.443,1.064,0.9531,-89.76
1,1.271,1.276,0.763,-93.31
1,1.187,1.061,0.8073,-92.19
1,1.207,1.38,0.7808,-92.07
1,1.282,1.877,0.722,-91.13
1,1.444,1.431,0.7512,-92.87
1,1.333,2.539,0.8502,-91.48
1,1.115,0.5924,0.8813,-89.87
1,1.236,1.973,0.7037,-88.07
1,1.322,0.9894,0.7522,-93.11
1,1.408,1.257,0.9596,-90.41
1,1.362,1.538,0.8416,-94.14
1,1.607,3.067,0.7852,-89.84
1,1.253,0.5841,0.7143,-90.29
1,1.436,0.7532,0.9172,-89.94
1,1.476,1.875,0.9321,-91.36
1,1.279,0.8522,0.746,-92.53
1,1.345,1.442,0.7592,-93.91
1,1.153,0.5254,0.8696,-90.88
1,1.18,1.049,0.7864,-91.81
1,1.223,0.8337,0.7773,-92.6
1,1.534,2.136,0.7483,-91.78
1,1.359,1.023,0.6855,-89.85
1,1.613,2.094,0.9033,-89.56
1,1.239,0.614,0.7428,-91.52
1,1.476,2.626,0.9145,-91.23
1,1.347,2.362,0.7256,-90.85
1,1.37,2.158,0.8392,-93.51
1,1.398,1.536,0.74,-93.36
1,1.463,1.138,0.815,-92.3
1,1.265,0.8832,0.7312,-91.98
1,1.236,1.486,0.8361,-92.79
1,1.492,1.757,0.7263,-91.63
1,1.455,2.366,0.7006,-90.61
1,1.435,0.6823,0.7798,-90.54
1,1.324,2.245,0.7309,-91.12
1,1.392,2.04,0.9324,-91.65
1,1.393,1.441,0.963,-90.62
1,1.403,2.551,0.7478,-91.78
1,1.168,0.7721,0.7705,-91.25
1,1.458,1.915,0.8018,-93.94
1,1.486,1.555,0.952,-90.18
1,1.238,0.6429,0.8044,-92.71
1,1.342,2.358,0.8918,-91.66
1,1.484,1.398,0.829,-92.62
1,1.428,1.133,1.012,-87.77
1,1.331,1.774,0.8485,-93.74
1,1.471,1.553,0.703,-90.53
1,1.458,2.575,0.7831,-92.8
1,1.202,0.8617,0.7196,-90.37
1,1.444,1.99,0.7743,-93.85
1,1.279,2.087,0.7691,-91.79
1,1.307,1.764,0.8604,-93.28
1,1.385,1.306,0.881,-93.14
1,1.545,1.852,0.8273,-92.12
1,1.348,0.7826,0.7907,-92.96
1,1.277,1.09,0.7889,-93.68
1,1.482,2.093,0.7582,-93.09
1,1.249,1.507,0.7616,-92.6
1,1.536,1.094,0.9284,-88.42
1,1.302,0.7647,0.8624,-92.8
1,1.436,1.387,0.7845,-93.5
1,1.521,0.6057,0.9204,-86.69
1,1.374,0.7913,0.7359,-91.37
1,1.359,1.601,0.8101,-94.38
1,1.317,0.7606,0.7649,-92.74
1,1.381,1.259,0.7721,-93.79
1,1.327,1.536,0.8299,-94.13
1,1.42,0.8096,0.769,-91.43
1,1.324,1.247,0.9111,-92.39
1,1.452,2.709,0.7406,-91.25
1,1.373,1.02,0.7562,-92.94
1,1.521,1.195,0.9011,-89.92
1,1.402,1.726,0.7747,-94.17
1,1.335,0.6039,0.8659,-92.08
1,1.126,2.238,0.7661,-83.53
1,1.603,2.37,0.841,-91.04
1,1.193,2.334,0.8934,-87.67
1,1.354,1.609,0.7542,-93.84
1,1.25,0.903,0.7602,-92.75
1,1.269,0.7875,0.7622,-92.75
1,1.342,1.248,0.8383,-93.99
1,1.256,0.8615,0.7922,-93.23
1,1.346,1.963,0.8301,-93.79
1,1.313,2.902,0.8353,-88.95
1,1.403,1.906,0.7703,-94.03
1,1.26,0.9773,0.794,-93.44
1,1.231,0.5464,0.7414,-91.2
1,1.142,0.9372,0.7554,-89.95
1,1.341,1.719,0.8251,-94.15
1,1.417,0.8709,0.806,-92.29
1,1.284,1.426,1.021,-87.88
1,1.337,1.596,0.7993,-94.29
1,1.5,2.8,0.8066,-92.19
1,1.385,2.491,0.8257,-92.76
1,1.505,2.944,0.9148,-90.32
1,1.506,1.359,0.7422,-90.61
1,1.624,1.502,0.8444,-88.02
1,1.274,1.743,0.73,-91.69
1,1.289,0.9031,0.742,-92.57
1,1.237,1.523,0.658,-86.25
1,1.225,1.094,0.8983,-91.84
1,1.475,1.194,0.6986,-88.71
1,1.364,1.113,0.6994,-91.01
1,1.27,1.113,1,-88.7
1,1.475,1.043,0.7762,-91.16
1,1.388,1.59,0.8052,-94.37
1,1.265,1.045,0.8313,-93.5
1,1.062,1.086,0.9313,-86.62
1,1.454,1.766,0.8114,-93.92
1,1.339,1.984,0.7407,-92.75
1,1.419,2.044,0.7951,-94.1
1,1.356,1.405,0.7039,-91.88
1,1.252,1.387,0.7879,-93.27
1,1.262,1.103,0.8425,-93.4
1,1.493,0.7468,0.852,-89.42
1,1.422,1.819,0.6708,-89.51
1,1.26,2.01,0.8032,-92
1,1.397,2.071,0.8595,-93.56
1,1.2,2.889,0.8678,-84.47
1,1.396,1.142,0.7883,-93.53
1,1.343,2.521,0.765,-91.29
1,1.254,1.74,0.8182,-92.76
1,1.32,1.523,0.9649,-90.52
1,1.266,0.7305,0.7347,-91.76
1,1.41,2.655,0.9439,-90
1,0.9939,0.6744,0.9551,-84.18
1,1.318,0.759,0.7775,-92.95
1,1.373,1.426,0.7399,-93.39
1,1.308,0.9354,0.785,-93.56
1,1.142,1.395,0.8428,-90.15
1,1.431,0.7639,0.8155,-91.46
1,1.348,1.437,0.8253,-94.26
1,1.545,2.401,0.8442,-92.35
1,1.406,1.935,0.7702,-94
1,1.421,0.955,0.7405,-91.31
1,1.263,0.756,0.8513,-92.88
1,1.399,0.5309,0.8499,-90.95
1,1.504,2.042,0.7819,-93.14
1,1.351,0.5978,0.835,-92.23
1,1.598,1.56,0.7493,-87.75
1,1.531,2.619,0.7492,-91.45
1,1.529,2.946,0.8487,-91.46
1,1.325,0.8983,0.8575,-93.15
1,1.418,2.21,0.7899,-93.79
1,1.336,2.145,0.8605,-92.85
1,1.134,1.638,0.7572,-87.6
1,1.319,1.371,0.9106,-92.45
1,1.297,2.098,0.9441,-90.18
1,1.358,1.135,0.8726,-93.21
1,1.276,1.382,0.861,-93.28
1,1.492,3.239,0.7882,-89.97
1,1.307,1.17,0.799,-94.02
1,1.296,2.002,0.7672,-92.52
1,1.445,1.678,0.8963,-92.66
1,1.423,1.778,0.8383,-94.04
1,1.285,1.574,0.9476,-90.85
1,1.485,2.864,0.7746,-91.6
1,1.434,1.433,0.7832,-93.64
1,1.397,2.831,0.8065,-91.36
1,1.51,1.969,0.7315,-91.69
1,1.321,0.576,0.7339,-91.01
1,1.492,0.8686,0.8676,-89.96
1,1.387,2.284,0.7931,-93.45
1,1.275,1.332,0.8401,-93.59
1,1.481,1.714,0.8316,-93.35
1,1.315,1.172,0.9045,-92.51
1,1.445,2.07,0.8211,-93.95
1,1.405,1.995,0.8525,-93.79
1,1.237,1.197,0.762,-92.7
1,1.309,1.866,0.7231,-91.87
1,1.377,2.374,0.7104,-90.63
1,1.464,1.547,0.8034,-93.47
1,1.155,0.7363,0.7503,-90.29
1,1.28,1.067,0.8127,-93.76
1,1.417,1.359,0.8445,-93.6
1,1.515,0.9832,0.8638,-89.83
1,1.627,1.782,0.8725,-88.83
1,1.211,0.7043,0.7972,-92.47
1,1.296,0.7316,0.8371,-93.05
1,1.38,1.55,0.7699,-94.14
1,1.482,1.707,0.8494,-93.14
1,1.375,1.357,0.7691,-93.96
1,1.182,0.8915,0.7814,-91.83
1,1.155,1.006,0.8608,-91.11
1,1.483,1.771,0.8603,-93.03
1,1.441,1.54,0.8955,-92.58
1,1.111,0.534,0.8826,-89.71
1,1.234,0.8803,0.9689,-89.58
1,1.41,2.761,0.8725,-91.48
1,1.363,2.208,0.8229,-93.44
1,1.452,3.104,0.7928,-90.48
1,1.292,0.6808,0.7636,-92.52
1,1.371,0.5042,0.8626,-91.23
1,1.332,1.703,0.8726,-93.39
1,1.272,1.13,0.741,-92.73
1,1.382,1.89,0.7257,-92.83
1,1.312,1.486,0.652,-87.64
1,1.357,2.894,0.9674,-87.61
1,1.292,0.7857,0.929,-91.18
1,1.266,0.9146,0.6637,-87.74
1,1.34,0.841,0.9024,-91.97
1,1.408,1.327,0.8405,-93.69
1,1.434,2.525,0.8883,-92.13
1,1.172,0.5082,0.7987,-91.47
1,1.457,1.962,0.6578,-87.92
1,1.333,0.8765,0.7601,-92.94
1,1.227,1.849,0.9049,-90.56
1,1.241,1.244,0.6771,-88.63
1,1.424,1.888,0.7592,-93.78
1,1.309,1.043,0.9504,-90.85
1,1.464,1.812,0.8561,-93.41
1,1.438,2.174,0.9023,-92.45
1,1.453,2.922,0.9023,-90.59
1,1.261,2.097,0.8117,-91.72
1,1.376,1.693,0.6791,-90.38
1,1.4,0.818,0.8819,-91.72
1,1.131,0.8337,0.81,-90.68
1,1.485,1.083,0.8425,-91.39
1,1.421,1.694,0.8351,-94.06
1,1.321,0.9299,0.702,-90.87
1,1.43,1.473,1.025,-87.72
1,1.215,1.094,0.7815,-92.6
1,1.367,1.182,0.7408,-93.03
1,1.51,1.775,0.8435,-92.75
1,1.385,1.067,0.7828,-93.4
1,1.26,0.8489,0.7173,-91.25
1,1.319,2.165,0.7078,-90.21
1,1.371,0.7979,0.7942,-92.75
1,1.248,0.9043,0.8234,-93.25
1,1.509,2.091,0.9252,-91.24
1,1.296,0.8849,0.7734,-93.29
1,1.328,2.258,0.9092,-91.31
1,1.433,0.7019,0.7634,-90.31
1,1.381,1.708,0.7656,-94.08
1,1.211,1.411,0.8781,-91.75
1,1.401,1.66,0.8088,-94.34
1,1.324,1.451,0.7537,-93.69
1,1.502,2.776,0.9159,-90.77
1,1.378,1.365,0.7188,-92.48
1,1.398,1.2,0.8363,-93.59
1,1.45,2.216,0.7433,-92.88
1,1.318,1.805,0.7954,-93.82
1,1.306,1.402,0.916,-92.21
1,1.356,1.118,0.8439,-93.68
1,1.45,1.33,0.736,-91.95
1,1.292,1.899,0.8381,-93.06
1,1.391,0.7457,0.8811,-91.61
1,1.314,1.118,0.7937,-93.96
1,1.177,0.6013,0.914,-90.45
1,1.234,1.358,0.8885,-92.08
1,1.351,0.8144,0.8497,-92.88
1,1.137,0.6957,0.8403,-90.92
1,1.507,2.724,0.9027,-91.23
1,1.319,0.8273,0.7483,-92.55
1,1.502,1.434,0.8183,-92.29
1,1.242,1.482,0.8256,-92.99
1,1.258,0.629,0.8859,-91.97
1,1.315,1.001,0.7671,-93.46
1,1.47,2.363,0.7851,-93.34
1,1.287,1.658,0.6913,-90.17
1,1.557,2.893,0.7516,-90.39
1,1.185,0.6369,0.7957,-91.9
1,1.393,2.022,0.8015,-94.12
1,1.536,2.554,0.8617,-92.13
1,1.366,2.302,0.7259,-91.52
1,1.461,1.476,0.9263,-91.31
1,1.602,1.373,0.7993,-88.05
1,1.423,1.845,0.7546,-93.7
1,1.265,0.7211,0.7057,-90.34
1,1.559,3.126,0.8203,-90.71
1,1.314,0.8794,0.7348,-92.28
1,1.381,2.165,0.6792,-89.5
1,1.394,1.142,0.8189,-93.62
1,1.436,2.069,0.8029,-94.04
1,1.382,1.209,0.8314,-93.82
1,1.411,2.355,0.7217,-91.67
1,1.371,1.26,0.7032,-91.54
1,1.379,1.138,0.8326,-93.68
1,1.4,2.219,0.8506,-93.44
1,1.422,2.116,0.8969,-92.68
1,1.529,2.286,0.9321,-90.72
1,1.404,0.8253,0.7123,-89.79
1,1.435,1.161,0.8208,-93.01
1,1.384,0.9799,0.8048,-93.28
1,1.387,1.166,0.8822,-92.85
1,1.306,1.506,0.8299,-93.97
1,1.208,0.879,0.7438,-91.54
1,1.327,1.113,0.7853,-93.91
1,1.421,2.199,0.7699,-93.59
1,1.513,3.816,0.7998,-86.33
1,0.9827,0.6084,0.7987,-84.07
1,1.498,1.892,0.8848,-92.42
1,1.294,1.313,0.8194,-93.98
1,1.34,2.686,0.7781,-90.57
1,1.224,1.014,0.7981,-92.97
1,1.572,2.971,0.7896,-90.82
1,1.497,1.525,0.6965,-89.23
1,1.507,0.5837,0.9692,-85.79
1,1.264,0.6852,0.8281,-92.95
1,1.365,1.17,0.7731,-93.75
1,1.401,1.402,0.7975,-94.09
1,1.39,0.9162,0.8387,-92.86
1,1.424,1.336,0.8454,-93.45
1,1.572,2.494,0.7562,-91.02
1,1.247,0.6526,0.7639,-92.29
1,1.286,0.5287,0.7089,-89.8
1,1.364,2.588,0.839,-91.96
1,1.31,1.731,0.7683,-93.55
1,1.171,0.9046,0.7649,-91.2
1,1.281,1.151,0.784,-93.72
1,1.245,0.5427,0.7984,-92.47
1,1.293,1.676,0.8466,-93.44
1,1.538,2.511,0.853,-92.27
1,1.529,1.827,0.7655,-92
1,1.351,0.829,0.9138,-91.54
1,1.488,1.282,0.8787,-91.57
