"stk","alpha","beta0","beta1","beta2","beta3","sigma","deviance"
1,2.143,1.714,3.219,1.429,1.524,0.736,-99.51
1,1.944,0.8978,3.704,1.411,0.8995,0.7265,-103
1,2.087,3.998,2.724,1.613,0.7187,0.7839,-99.1
1,1.788,1.152,3.066,1.481,0.2855,0.7805,-105.9
1,1.545,0.5349,1.304,1.785,0.1767,0.814,-102
1,1.749,0.6458,2.719,1.456,0.2738,0.8501,-103
1,2.085,1.877,2.911,1.379,1.897,0.8052,-101.4
1,1.747,2.072,3.623,1,0.784,0.768,-103.6
1,1.758,2.248,1.164,1.628,0.3813,0.7481,-102.6
1,1.797,0.8381,2.713,2.263,0.1881,0.7588,-104.8
1,1.955,0.813,1.231,1.439,1.004,0.8353,-92.61
1,1.625,1.001,0.9972,1.577,1.406,0.6969,-101
1,1.94,3.277,1.434,1.611,2.293,0.745,-97.09
1,1.751,1.342,2.809,1.349,0.05511,0.7896,-105.7
1,1.776,1.898,2.006,1.05,1.653,0.7641,-104.3
1,2.25,2.458,3.131,2.396,0.6211,0.7968,-96.99
1,1.696,0.5433,3.491,1.496,0.6134,0.8301,-102.9
1,2.121,1.246,3.11,1.942,0.6491,0.8366,-97.47
1,1.597,1.259,2.785,0.1314,0.3269,0.7836,-103.3
1,1.779,2.153,1.654,1.794,0.9443,0.675,-103.8
1,1.61,0.8788,1.481,2.105,0.9615,0.7906,-102.6
1,1.892,2.435,3.553,1.995,0.7683,0.6722,-102.3
1,1.825,1.558,2.911,0.5857,0.2158,0.7353,-102.9
1,1.908,0.9948,3.797,1.408,1.015,0.7808,-103.8
1,1.87,1.539,2.776,1.764,1.425,0.7468,-105.9
1,1.85,0.5971,3.947,1.889,1.112,0.6505,-99.28
1,1.847,1.736,3.134,0.8463,0.3054,0.7777,-104.6
1,1.806,1.938,3.084,2.314,1.342,0.7883,-101.2
1,1.654,0.7225,2.248,0.8385,0.8899,0.8121,-103.9
1,1.614,1.704,1.531,0.5855,0.7014,0.7497,-104.2
1,1.695,1.245,1.909,1.433,0.5193,0.7321,-106.2
1,1.651,1.277,2.239,1.547,0.5035,0.5814,-98.73
1,1.92,1.53,3.338,1.536,0.09401,0.7456,-104.3
1,1.492,0.7184,2.942,0.6556,0.4483,0.8679,-100.4
1,1.993,0.9675,3.452,2.315,1.213,0.8329,-102.4
1,1.85,2.252,2.914,1.239,1.009,0.7804,-105.9
1,1.991,2.474,2.753,1.454,2.232,0.6805,-100.2
1,1.883,1.362,2.914,1.403,0.6571,0.901,-101.6
1,2.013,1.957,3.272,2.502,1.05,0.782,-104.2
1,1.875,1.783,3.23,1.231,0.4816,0.7745,-105.9
1,1.944,1.964,2.739,2.643,1.094,0.8506,-102.4
1,1.711,1.691,1.972,1.52,1.226,0.7112,-105.2
