"","stk.name","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"deviance","Bowron","-307.5622","3.84924250052239","-312.8025","-310.4","-308.2","-305.7","-298.1975","1.00078544222754","1000"
"alpha","Raft","1.751112","0.156819111366216","1.42789986319304","1.64674994305816","1.751","1.85324994942229","2.05717471032913","1.00024685904218","1000"
"beta0","Raft","19.386061","8.32386000198295","6.24569971866428","13.1674992878394","18.27999726477","24.8224905642947","37.2029710716788","1.0009153834171","1000"
"beta1","Raft","6.19841053","5.07036343857786","0.206462366567936","2.26774664697769","4.95549089394784","9.23399740240951","17.7324931514746","0.999997004021084","1000"
"beta2","Raft","14.71822589","8.68956744492208","1.53234456496036","7.94674970500623","13.9249991023339","20.1124995339492","34.5944886230866","1.01800160603148","200"
"beta3","Raft","10.52685047","7.09689763559196","0.519591507743187","4.74692860095169","9.47849998681226","15.11","26.73","1.00078160749036","1000"
"sigma","Raft","0.8017662","0.0763413122333741","0.6678","0.747424988709731","0.794699993708318","0.8473","0.97343497548294","1.00590612804394","570"
"deviance","Raft","-328.8358","3.30865010624054","-333.6","-331.2","-329.5","-327.175","-320.6","1.00025536041959","1000"
"alpha","Quesnel","2.056653","0.137512152856332","1.79097499319264","1.968","2.053","2.14324995626482","2.347","1.00020855178814","1000"
"beta0","Quesnel","0.38885513","0.141290862561691","0.136397499106057","0.283649669097932","0.377298674792266","0.491099877891575","0.672159895796149","1.00136119147326","1000"
"beta1","Quesnel","0.298826732","0.145956842853406","0.036666148486297","0.190724955737698","0.294949995761994","0.398499849536033","0.5899","1.00704271341707","220"
"beta2","Quesnel","0.3603712248","0.154055961315919","0.0732022166576427","0.25352481863785","0.352149911259395","0.45754992626979","0.672135878047222","1.0910326175285","64"
"beta3","Quesnel","0.56332558","0.153417166343902","0.263522052212984","0.458949795580855","0.5607","0.669249994397271","0.870669890479929","1.00429584176959","1000"
"sigma","Quesnel","0.8305171","0.0817896366433563","0.69175494282268","0.7741","0.825999993946731","0.880674990420368","1.021","1.00003655198804","1000"
"deviance","Quesnel","-179.9799","3.33981441854938","-184.7","-182.5","-180.6","-178.1","-172.3925","1.00058876860527","1000"
"alpha","Chilko","2.252138","0.206881035183795","1.84697499339911","2.114","2.258","2.38674964663383","2.67102499543823","1.00104724552624","1000"
"beta0","Chilko","0.9728314","0.288338855497537","0.387757408912182","0.781249956788936","0.982099383972926","1.17","1.52604996808127","1.00254712008481","1000"
"beta1","Chilko","0.732777567","0.354159121327068","0.0881795877334557","0.468424901883119","0.723999889502754","0.978299938685831","1.45122432241562","1.01791678996281","1000"
"beta2","Chilko","0.472295226","0.310848677200097","0.0294554865420706","0.237124964402486","0.423345036583636","0.670149994404795","1.21809984024677","1.00374224519784","1000"
"beta3","Chilko","0.2808715386","0.216934898222061","0.0115136829184056","0.1063","0.230649951224794","0.403874979113806","0.802889803830026","1.00466498133915","760"
"sigma","Chilko","0.7847331","0.0803332174147794","0.652377484854614","0.727499979377663","0.7778","0.830174944680827","0.957012496817317","1.00011540626058","1000"
"deviance","Chilko","139.0695","4.21016213645214","133.8","136.1","138.2","141.124993358522","149.30249918405","0.999999062553332","1000"
"alpha","Seymour","1.978538","0.180917610358245","1.63494997015945","1.856","1.98049993688462","2.096","2.34609991697298","1.00201286450204","750"
"beta0","Seymour","3.5843364","1.3270744247192","1.18249583267136","2.64249985805311","3.536","4.45324997894954","6.44734963000767","1.00605099127824","350"
"beta1","Seymour","7.4701769","2.49756986183994","2.54397499520808","5.85649942352033","7.40249984802432","9.23474877211092","12.0604995962119","1.0022817740526","660"
"beta2","Seymour","3.7117233","2.14722266643839","0.376236116227192","2.09024959614689","3.50299300598788","5.04449992567143","8.26829603009921","1.02595844555441","170"
"beta3","Seymour","5.10284874","2.3973986612377","0.876624379819766","3.40024666024469","5.06499990128332","6.60424998580531","9.91901697995205","1.02677051225842","750"
"sigma","Seymour","0.8244389","0.0779392229834842","0.692177485726187","0.770974998783955","0.817499993883792","0.874924973217091","1.002","1.00480283511027","350"
"deviance","Seymour","-192.037","3.40630208494401","-197","-194.6","-192.6","-190","-183.8975","1.00688638505027","220"
"alpha","L. Shuswap","2.173418","0.232961160235302","1.74094997197766","2.009","2.17549994254194","2.332","2.63404998150127","1.0008229373915","1000"
"beta0","L. Shuswap","0.29774274","0.098495762945472","0.101992489225456","0.2335","0.294599983027834","0.365099958930361","0.482842427215325","1.00255523612148","590"
"beta1","L. Shuswap","0.42236699","0.128103567236743","0.176882466153319","0.331549445003173","0.421049997031231","0.509024850905582","0.678384792976103","1.00344280313963","440"
"beta2","L. Shuswap","0.313505401","0.127660430098003","0.0640283580116009","0.227149851288767","0.313549964120553","0.398899962409153","0.553130614363348","1.00215724727902","1000"
"beta3","L. Shuswap","0.213594908","0.114370414378005","0.0177911146960388","0.128199882873434","0.20764994582229","0.290024996767891","0.450919982721443","1.00060795103955","1000"
"sigma","L. Shuswap","0.953014","0.0955204815020652","0.789527369876671","0.884549995760237","0.945749988104679","1.01424990759753","1.15609983169815","1.00323072951962","470"
"deviance","L. Shuswap","-32.68083","3.59448615824875","-37.73025","-35.2825","-33.49","-30.6575","-23.7285","1.00496919787374","1000"
"alpha","Birkenhead","2.27333","0.209922229509984","1.88189989624162","2.131","2.263","2.414","2.67522463177331","1.0007652519795","1000"
"beta0","Birkenhead","5.813765","1.64048876410665","2.606","4.69324982018221","5.8209999141041","6.993","8.90419685715694","1.00537361303078","280"
"beta1","Birkenhead","2.91267425","1.48947426020601","0.360484685522196","1.84049979617718","2.836","3.92423510040628","6.01024979743484","1.00006296642802","1000"
"beta2","Birkenhead","1.0324397385","0.849511821009222","0.0262271276248038","0.358524976459509","0.831249926315786","1.5194997533165","3.16644875741236","1.0017314164375","870"
"beta3","Birkenhead","1.295195079","0.957927254830021","0.0588969437315027","0.535424072420597","1.102","1.89374955469052","3.49059799759869","1.00046362023147","1000"
"sigma","Birkenhead","1.003285","0.0974472604210276","0.829897499853133","0.937","0.996449938531786","1.06024991160524","1.21902499000745","1.00261161820421","570"
"deviance","Birkenhead","-14.6741417","3.82927695875317","-19.802","-17.35","-15.525","-12.64","-6.169075","1.00708971176631","710"
"alpha","Cultus","1.5006211","0.219496474201699","1.10892490091683","1.347","1.49049991613552","1.647","1.9632493812134","1.00007825955328","1000"
"beta0","Cultus","16.941605","7.78864682395622","7.38472480011711","11.1324924140223","14.9899966644426","21.6324995666911","36.2742403188393","1.00249207072167","600"
"beta1","Cultus","9.39057383","7.71191647530954","0.261152330747651","3.3497452640385","7.57149866274835","13.46","28.4232427744334","1.00350657437969","610"
"beta2","Cultus","10.23566752","8.23272881187373","0.441574972360282","3.67474997448575","8.37199904443377","15.2574944735536","29.8572158807306","1.00362903932474","1000"
"beta3","Cultus","8.178216155","7.06530854681508","0.205547825171045","2.60649293765973","6.67799970050913","11.7324992011645","26.4855700701672","1.00000370632464","1000"
"sigma","Cultus","1.255982","0.119780134315238","1.03794995297502","1.172","1.25","1.328","1.50612479812538","1.00382959248744","520"
"deviance","Cultus","-341.4687","3.47425686597447","-346.3","-344.1","-342.1","-339.6","-332.6925","1.0001300195658","1000"
"alpha","Portage","2.873232","0.330827191758487","2.283","2.639","2.84949995613265","3.09124996967573","3.5902247254704","1.00000139200906","1000"
"beta0","Portage","42.080499","16.2977724557996","12.4962278876321","30.3724972210785","41.7499988023952","52.5624855611516","77.2119989904568","1.00422117952717","1000"
"beta1","Portage","55.22537072","23.2273010865939","9.73884995493089","39.2824710956439","56.5349820907374","72.482419254297","95.6107498852998","1.00008448083437","1000"
"beta2","Portage","19.1236199","14.5398706711163","0.723897499831626","7.22949953303353","16.2299507084895","27.7699784146672","52.3704591560475","1.00254333363519","970"
"beta3","Portage","20.41176529","14.842831492637","0.935809830803368","9.06894581362623","17.804993681549","28.3024996687962","56.8044930624451","1.00087531534224","1000"
"sigma","Portage","1.077774","0.122490061470958","0.86120479507681","0.992299984881572","1.069","1.154","1.34","1.00010253748372","1000"
"deviance","Portage","-189.4579","3.22191842670611","-194.1","-192","-190","-187.5","-182","1.00001680314544","1000"
"alpha","Weaver","2.65519","0.268071509553392","2.17197499438711","2.474","2.642","2.835","3.25102499625191","1.0017055470645","880"
"beta0","Weaver","5.730797","2.61885398905838","1.4069749913339","3.77074997513537","5.61299563513103","7.55324998758867","11.0014960256286","1.00528051930916","290"
"beta1","Weaver","2.7462287882","2.00085710083478","0.0757201479832259","1.17849968161874","2.36199978831498","3.9512480795973","7.22722096841815","1.00043328466114","1000"
"beta2","Weaver","1.64614449","1.43895737948536","0.0541497257419993","0.516249643745599","1.24249989939637","2.3644998414488","5.09501492781588","1.00010744058634","1000"
"beta3","Weaver","4.7404203","2.74657274153222","0.455149838881649","2.68174912549342","4.46849997202641","6.40399976582014","10.8022409092127","0.999997005149019","1000"
"sigma","Weaver","0.9069518","0.108372572412079","0.734892498507049","0.8303","0.897899994431451","0.973624999037137","1.12704995679404","1.00179789897653","1000"
"deviance","Weaver","-2.230693889","3.5861695823533","-7.371075","-4.832","-2.8315","-0.32295","5.85435","1.00517033327315","430"
"alpha","Fennell","2.526611","0.273742478661284","1.99987484740505","2.334","2.52049995040666","2.707","3.05017480449615","1.00294220897336","510"
"beta0","Fennell","73.33738","22.5040283644557","27.364730263092","58.5599769309579","72.914986113967","88.9274872490785","118.702498973821","1.005255153369","1000"
"beta1","Fennell","32.89562563","18.6260142248587","2.56621700997034","18.864998011489","32.1299751011419","44.9024947822937","73.7604709579827","1.00511621276255","1000"
"beta2","Fennell","26.57513","17.4590243813539","1.4449749915619","12.74","24.0249953173773","37.8224799385705","63.3922484441303","1.00234380197422","640"
"beta3","Fennell","23.2882302","15.6724770380235","1.32264818176622","10.8774784201364","20.63","33.7124997219407","58.9322483264957","1.005605252994","270"
"sigma","Fennell","0.9484576","0.113442193885668","0.756574983877723","0.870674998923208","0.935949998664459","1.016","1.212","1.00294471129253","510"
"deviance","Fennell","-234.3409","3.58292262329575","-239.2025","-237","-235","-232.4","-225.3","1.01441979508337","250"
"alpha","Scotch","2.093087","0.313552704867507","1.52987480042836","1.8797499501175","2.07549993977355","2.301","2.75204998229408","1.00009923550732","1000"
"beta0","Scotch","5.672104","2.87438672767675","2.44592495512014","3.48149989226717","4.90149977047842","7.178499529977","13.2522425826772","1.0001874171887","1000"
"beta1","Scotch","13.03534885","5.73168935533602","2.0895984996103","8.96299581301746","13.0599961715155","16.73","24.9614982449643","1.00038775337545","1000"
"beta2","Scotch","7.8577379","4.75736085812586","0.673579546361614","4.25","7.37199891481273","11","18.36","1.00534719935292","330"
"beta3","Scotch","10.47491268","5.35394929693173","1.36659769988865","6.53674366839833","10.0799950396813","14.0624993334913","22.2517473215572","1.00265113613107","1000"
"sigma","Scotch","1.0266646","0.156925982778222","0.772694999368988","0.916599983632792","1.00549987568373","1.117","1.401","1.0002694517217","1000"
"deviance","Scotch","-129.6547","3.22387830125476","-134.1","-132.1","-130.3","-127.875","-121.7","1.001755111959","850"
"alpha","Gates","2.389275","0.233577849949406","1.94897499374468","2.22749983159942","2.385","2.54024996309903","2.88012489432649","1.00003939423224","1000"
"beta0","Gates","17.427598","6.16231625316325","5.71319780780462","13.252493628467","17.42","21.374998246161","29.7422466872052","1.00120945003363","1000"
"beta1","Gates","10.61400594","5.86691387663176","1.1090337785907","6.16224925425122","10.07","14.56","23.0407495243335","1.00130166851953","1000"
"beta2","Gates","15.9641813","6.34752526562108","3.84435860366633","11.4499868842805","15.83","20.26","28.5404998292659","1.00509857825145","470"
"beta3","Gates","15.1115613","5.97692448338377","3.83975809476175","10.8274991338825","15.0149991674991","19.11","27.3402499554332","1.00129686040572","1000"
"sigma","Gates","0.841169","0.100482082521751","0.669172477939551","0.768474998779998","0.83309999399832","0.906524998965869","1.06502498856341","1.00031502776333","1000"
"deviance","Gates","-182.1632","3.48304426577633","-187.1","-184.8","-182.8","-180.3","-173.9975","1.00345427323074","1000"
"alpha","Nadina","1.710226","0.22630132393164","1.2829749904959","1.555","1.70099970605524","1.858","2.17502499439825","1.00291482759065","1000"
"beta0","Nadina","7.150435","3.6000406389897","2.06074940676512","4.23499964569717","6.54949998091457","9.47124832793916","15.1824920059932","1.00021511501702","1000"
"beta1","Nadina","4.59724044","3.22402145045392","0.231282754647126","1.9847499527569","4.06799987708948","6.53173622856537","12.1529856487896","0.999998218810629","1000"
"beta2","Nadina","4.1746887189","3.11775850102164","0.132673941318567","1.7267455946265","3.59949579802505","5.81724869528781","11.411496167949","1.00854392244142","430"
"beta3","Nadina","6.438531072","4.05013193721046","0.493261341523398","3.39824975163734","5.84699692149739","8.89574872533769","15.5952158274667","1.00204830830259","730"
"sigma","Nadina","0.906468","0.116300633847944","0.717","0.823274998861209","0.895149998603586","0.971924975889619","1.17904995869752","1.00072086438029","1000"
"deviance","Nadina","-138.0254","3.33187277911631","-142.6","-140.4","-138.8","-136.1","-130.095","1.00301897941693","1000"
"alpha","Upper Pitt","1.80248","0.168034053224467","1.47594996694205","1.69774994476901","1.802","1.918","2.12602499426918","1.00186357391345","800"
"beta0","Upper Pitt","12.802761","4.52785641928194","4.78507149601015","9.48099224000996","12.6999842519587","16.0449976637938","22.01","1.00096083135936","1000"
"beta1","Upper Pitt","5.143194808","3.61920637235714","0.282074956696147","2.51124158352284","4.50499955604881","7.20074530409699","13.9208338251194","1.00742804668047","1000"
"beta2","Upper Pitt","10.99209254","4.78372082737258","1.75002887959749","7.91549615968019","10.7299953401667","14.104997342624","20.6832400812223","1.00080608808596","1000"
"beta3","Upper Pitt","3.957131987","3.0226453410946","0.133277947224461","1.62624717118786","3.32299984953355","5.85474985591085","11.100749013579","0.999997325896272","1000"
"sigma","Upper Pitt","0.7398603","0.068787873534915","0.620974980353566","0.690824987784574","0.7337","0.781999980821684","0.885502499862376","1.00022919939599","1000"
"deviance","Upper Pitt","-220.8267","3.59035482337857","-225.8","-223.6","-221.3","-218.8","-212.4","1.00531911061014","770"
"alpha","Harrison","1.5974003","0.205668903064118","1.18489983507644","1.468","1.59649992170373","1.733","2.01104997577419","1.00049547317438","1000"
"beta0","Harrison","2.209337","1.25318748991357","0.535039868420903","1.18674992098054","2.0384999386804","2.99824921872817","5.24384732426261","1.00382100392507","390"
"beta1","Harrison","1.254284368","1.1631710473302","0.0291162490333873","0.358373844094875","0.924447013084038","1.74724994635449","4.24482188863389","1.00378373466031","450"
"beta2","Harrison","1.6501259902","1.49376046531985","0.0445239552757362","0.514024589235949","1.214","2.37099936771101","5.34406409988927","1.00162530472945","1000"
"beta3","Harrison","1.7314167734","1.54460686386683","0.0422462414434352","0.556474256105693","1.36599963396774","2.35849857021761","5.65764854801016","1.00031411992883","1000"
"sigma","Harrison","1.478531","0.147587028461074","1.23784964446288","1.37174993164003","1.465","1.564","1.81604997317473","1.00181512275962","1000"
"deviance","Harrison","-167.6161","3.96656582378692","-173.7","-170.3","-168.3","-165.8","-157.9975","1.00281175591238","530"
