"stk","yr","mixCatch","mixER","amCatch","amER","frfnCatch","frfnER","totCatch","totalER"
"2",1995,NA,0.32,NA,NA,NA,NA,NA,0.5
"2",1996,NA,0.29,NA,NA,NA,NA,NA,0.48
"2",1997,NA,0.17,NA,NA,NA,NA,NA,0.31
"2",1998,NA,0.13,NA,NA,NA,NA,NA,0.28
"2",1999,NA,0.41,NA,NA,NA,NA,NA,0.55
"2",2000,NA,0.23,NA,NA,NA,NA,NA,0.35
"2",2001,NA,0.1,NA,NA,NA,NA,NA,0.26
"2",2002,NA,0.14,NA,NA,NA,NA,NA,0.26
"2",2003,NA,0.13,NA,NA,NA,NA,NA,0.27
"2",2004,NA,0.1,NA,NA,NA,NA,NA,0.25
"2",2005,1383,0.06,3387,0.142670598146588,NA,NA,4770,0.2
"2",2006,NA,0.12,NA,NA,NA,NA,NA,0.18
"2",2007,NA,0.06,NA,NA,NA,NA,NA,0.21
"2",2008,NA,0.05,NA,NA,NA,NA,NA,0.15
"2",2009,784,0.05,2318,0.136973349878863,NA,NA,3102,0.18
"2",2010,485,0.02,2832,0.130236836054265,NA,NA,3317,0.15
"2",2011,1315,0.05,2132,0.0848523441853061,NA,NA,3447,0.14
"2",2012,210,0.02,1460,0.141185571994971,NA,NA,1670,0.16
"2",2013,212,0.03,894,0.1369904995403,NA,NA,1106,0.17
"2",2014,126,0.02,1263,0.154703576678099,NA,NA,1389,0.17
"3",1954,7147,0.26,5083,0.185463567701682,NA,NA,12230,0.45
"3",1955,3456,0.25,2524,0.185451873622337,NA,NA,5980,0.44
"3",1956,39329,0.42,17404,0.185442882867524,NA,NA,56733,0.6
"3",1957,40396,0.34,22003,0.185441459056737,NA,NA,62399,0.53
"3",1958,32811,0.28,21478,0.185436524381821,NA,NA,54289,0.47
"3",1959,82495,0.25,62303,0.185440496706581,NA,NA,144798,0.43
"3",1960,21321,0.22,17835,0.185433562071117,NA,NA,39156,0.41
"3",1961,33605,0.22,28683,0.185444036412538,NA,NA,62288,0.4
"3",1962,1122,0.12,1743,0.185386088066369,NA,NA,2865,0.3
"3",1963,2470,0.04,12318,0.185450603715636,NA,NA,14788,0.22
"3",1964,11459,0.15,14192,0.185443616882268,NA,NA,25651,0.34
"3",1965,10251,0.26,7291,0.18543669566102,NA,NA,17542,0.45
"3",1966,4232,0.18,4344,0.185450819672131,NA,NA,8576,0.37
"3",1967,11831,0.38,5817,0.185467414870552,NA,NA,17648,0.56
"3",1968,10780,0.25,7998,0.185456569123035,NA,NA,18778,0.44
"3",1969,3944,0.23,3152,0.185477227256679,NA,NA,7096,0.42
"3",1970,4116,0.18,4205,0.185454705830467,NA,NA,8321,0.37
"3",1971,4337,0.17,4856,0.185449684934123,NA,NA,9193,0.35
"3",1972,13369,0.18,13747,0.185436984878529,NA,NA,27116,0.37
"3",1973,8836,0.12,13480,0.185442489441609,NA,NA,22316,0.31
"3",1974,53435,0.23,43337,0.185440183484668,NA,NA,96772,0.41
"3",1975,3853,0.1,7185,0.185448069378484,NA,NA,11038,0.28
"3",1976,6899,0.07,17587,0.185444499509685,NA,NA,24486,0.26
"3",1977,45103,0.38,22207,0.185440030729919,NA,NA,67310,0.56
"3",1978,30304,0.28,20185,0.185442084374541,NA,NA,50489,0.46
"3",1979,18011,0.21,15697,0.185445094217024,NA,NA,33708,0.4
"3",1980,24657,0.26,17854,0.18544215708677,NA,NA,42511,0.44
"3",1981,7305,0.26,5242,0.185432806254201,NA,NA,12547,0.44
"3",1982,9329,0.29,4360,0.1349385658135,NA,NA,13689,0.42
"3",1983,38858,0.35,24053,0.217349658880405,NA,NA,62911,0.57
"3",1984,59760,0.43,21999,0.159547155580053,NA,NA,81759,0.59
"3",1985,17351,0.26,10120,0.152448669086965,NA,NA,27471,0.41
"3",1986,23522,0.28,18302,0.217678822046195,NA,NA,41824,0.5
"3",1987,22773,0.36,5665,0.0884990314316066,NA,NA,28438,0.44
"3",1988,8388,0.2,4265,0.103474210296472,NA,NA,12653,0.31
"3",1989,21987,0.26,22804,0.268854855633761,NA,NA,44791,0.53
"3",1990,18844,0.25,14661,0.196736490385261,NA,NA,33505,0.45
"3",1991,19204,0.31,16680,0.266479215260249,NA,NA,35884,0.57
"3",1992,24633,0.39,10410,0.164960542579153,NA,NA,35043,0.56
"3",1993,135754,0.42,88875,0.275231488650088,NA,NA,224629,0.7
"3",1994,28987,0.23,21133,0.170515427317325,NA,NA,50120,0.4
"3",1995,31557,0.32,17626,0.179428711036912,NA,NA,49183,0.5
"3",1996,14354,0.29,9165,0.186968318407148,NA,NA,23519,0.48
"3",1997,5595,0.17,4505,0.138385451864594,NA,NA,10100,0.31
"3",1998,27074,0.13,33087,0.154597701149425,NA,NA,60161,0.28
"3",1999,31867,0.41,11000,0.140942521077313,NA,NA,42867,0.55
"3",2000,6489,0.23,3449,0.121426559639487,NA,NA,9938,0.35
"3",2001,3877,0.1,6519,0.160495346890541,NA,NA,10396,0.26
"3",2002,2851,0.14,2341,0.117614549839228,NA,NA,5192,0.26
"3",2003,11066,0.13,12908,0.146117274167987,NA,NA,23974,0.27
"3",2004,6735,0.1,9613,0.146506134268079,NA,NA,16348,0.25
"3",2005,2188,0.06,5359,0.142682180036742,NA,NA,7547,0.2
"3",2006,7457,0.12,4062,0.0645479103766089,NA,NA,11519,0.18
"3",2007,864,0.06,1986,0.14370477568741,NA,NA,2850,0.21
"3",2008,165,0.05,387,0.107589658048374,NA,NA,552,0.15
"3",2009,1145,0.05,3384,0.136981865284974,NA,NA,4529,0.18
"3",2010,222,0.02,1296,0.130198915009042,NA,NA,1518,0.15
"3",2011,376,0.05,609,0.0847835166365029,NA,NA,985,0.14
"3",2012,380,0.02,2638,0.141137445829544,NA,NA,3018,0.16
"3",2013,561,0.03,2371,0.137052023121387,NA,NA,2932,0.17
"3",2014,378,0.02,3786,0.154701099170514,NA,NA,4164,0.17
