stk,yr,cyc,rec2,rec3,rec4,rec5,rec,eff,ets,
4,2007,3,0,0,0.008359,0.00002,0.008379,0.001075,0.002133,
4,2008,4,0,0,0.000234,0.000548,0.000782,0.000275,0.000774,
4,2009,1,0,0,0.004968,0.001241,0.006209,0.000843,0.001686,
4,2010,2,0,0.000023,0.023583,0.003676,0.027259,0.004095,0.008189,
4,2011,3,0,0,0.006276,NA,NA,0.002037,0.003991,
4,2012,4,0,0.00003,NA,NA,NA,0.00003,0.000059,
4,2013,1,NA,NA,NA,NA,NA,0.001924,0.003225,
4,2014,2,NA,NA,NA,NA,NA,0.006252,0.011419,
4,2015,3,NA,NA,NA,NA,NA,0.00221,0.00346,
5,1948,4,0,0,0.062653,0.000684,0.063337,0.005524,0.010359,
5,1949,1,0,0,0.036748,0.002878,0.039626,0.002109,0.005484,
5,1950,2,0,0.000017,0.039549,0.00599,0.045539,0.001917,0.003597,
5,1951,3,0,0.000008,0.034636,0.013009,0.047645,0.003364,0.006769,
5,1952,4,0,0.000005,0.046167,0.00501,0.051177,0.005116,0.010353,
5,1953,1,0,0,0.030285,0.001839,0.032124,0.0036,0.006259,
5,1954,2,0,0.000231,0.038964,0.011293,0.050257,0.005352,0.009918,
5,1955,3,0,0.000007,0.052497,0.00786,0.060357,0.002905,0.004657,
5,1956,4,0,0,0.017335,0.008029,0.025364,0.005179,0.008476,
5,1957,1,0,0.000072,0.018932,0.002011,0.020943,0.003314,0.006813,
5,1958,2,0,0.000023,0.022591,0.000512,0.023103,0.006235,0.010112,
5,1959,3,0,0,0.020417,0.003167,0.023584,0.005232,0.009825,
5,1960,4,0,0.000064,0.014715,0.002049,0.016764,0.002252,0.004389,
5,1961,1,0,0.000032,0.022139,0.002154,0.024293,0.003014,0.005477,
5,1962,2,0,0,0.037568,0.002981,0.040549,0.004197,0.007213,
5,1963,3,0,0.000018,0.00909,0.000265,0.009355,0.002693,0.004932,
5,1964,4,0,0.000081,0.040283,0.008228,0.048511,0.002666,0.004959,
5,1965,1,0,0.000073,0.018867,0.001686,0.020553,0.002669,0.004327,
5,1966,2,0,0.00032,0.020483,0.002736,0.023219,0.002666,0.005492,
5,1967,3,0,0.000037,0.008226,0.001395,0.009621,0.000358,0.00064,
5,1968,4,0,0.000098,0.100888,0.005411,0.106299,0.003455,0.007507,
5,1969,1,0,0.000381,0.010279,0.00371,0.013989,0.002577,0.004852,
5,1970,2,0,0.000037,0.0083,0.000523,0.008823,0.001205,0.002206,
5,1971,3,0,0.000033,0.00957,0.002116,0.011686,0.000223,0.000422,
5,1972,4,0,0.000087,0.056973,0.000761,0.057734,0.004507,0.007918,
5,1973,1,0,0.000022,0.001616,0.007723,0.009339,0.001345,0.002425,
5,1974,2,0,0.000206,0.011541,0.000476,0.012017,0.001479,0.002343,
5,1975,3,0,0.000007,0.005632,0.000797,0.006429,0.001391,0.002541,
5,1976,4,0,0.000056,0.018539,0.001331,0.01987,0.003976,0.008628,
5,1977,1,0,0,0.002728,0.003189,0.005917,0.000198,0.00036,
5,1978,2,0,0.000253,0.011888,0.006562,0.01845,0.001343,0.002493,
5,1979,3,0,0,0.001183,0.001856,0.003039,0.000693,0.001473,
5,1980,4,0,0.000112,0.047827,0.003784,0.051611,0.002056,0.005119,
5,1981,1,0,0.000029,0.007366,0.001244,0.00861,0.000312,0.000639,
5,1982,2,0,0,0.002509,0.001233,0.003742,0.001533,0.002992,
5,1983,3,0,0.000038,0.002855,0.001196,0.004051,0.001821,0.00278,
5,1984,4,0,0.000325,0.032692,0.014038,0.04673,0.006701,0.014407,
5,1985,1,0,0.000007,0.00283,0.001591,0.004421,0.001922,0.003264,
5,1986,2,0,0,0.002902,0.000111,0.003013,0.00108,0.002042,
5,1987,3,0,0,0.001399,0.002421,0.00382,0.000723,0.001388,
5,1988,4,0,0,0.041783,0.008304,0.050087,0.009207,0.019013,
5,1989,1,0,0.000007,0.007357,0.003935,0.011292,0.000925,0.001635,
5,1990,2,0,0,0.00161,0.000934,0.002544,0.000412,0.00063,
5,1991,3,0,0,0.000908,0.000553,0.001461,0.000264,0.000464,
5,1992,4,0,0.000006,0.065321,0.002024,0.067345,0.004112,0.008224,
5,1993,1,0,0.000024,0.022386,0.010727,0.033113,0.002934,0.005037,
5,1994,2,0,0,0.004738,0.022745,0.027483,0.0008,0.001642,
5,1995,3,0,0.000041,0.022745,0.004484,0.027229,0.000682,0.001021,
5,1996,4,0,0,0.089315,0.022684,0.111999,0.021381,0.039613,
5,1997,1,0,0,0.025983,0.025281,0.051264,0.002367,0.005025,
5,1998,2,0,0.000008,0.004905,0.011325,0.01623,0.003585,0.006746,
5,1999,3,0,0.000092,0.026426,0.034631,0.061057,0.003499,0.006676,
5,2000,4,0,0.000053,0.107671,0.007672,0.115343,0.027668,0.057397,
5,2001,1,0,0,0.079275,0.016425,0.0957,0.016025,0.030014,
5,2002,2,0,0.000045,0.021369,0.021419,0.042788,0.008402,0.017756,
5,2003,3,0,0,0.002439,0.00593,0.008369,0.00489,0.009458,
5,2004,4,0,0.000004,0.039136,0.008849,0.047985,0.003244,0.00558,
5,2005,1,0,0,0.006441,0.002454,0.008895,0.016967,0.0264,
5,2006,2,0,0,0.007182,0.009652,0.016834,0.003442,0.005977,
5,2007,3,0,0,0.006257,0.004427,0.010684,0.008064,0.013813,
5,2008,4,0,0.000002,0.01479,0.003641,0.018431,0.003562,0.007285,
5,2009,1,0,0.000005,0.019972,0.015218,0.03519,0.006039,0.011098,
5,2010,2,0,0.000026,0.038269,0.005546,0.043815,0.002389,0.004608,
5,2011,3,0,0.000024,0.017014,NA,NA,0.00443,0.008055,
5,2012,4,0,0,NA,NA,NA,0.00171,0.003218,
5,2013,1,NA,NA,NA,NA,NA,0.009045,0.015834,
5,2014,2,NA,NA,NA,NA,NA,0.009471,0.016656,
5,2015,3,NA,NA,NA,NA,NA,0.00879,0.01559,
6,1948,4,0,0,0.000618,0,0.000618,0.000048,0.000096,
6,1949,1,0,0.022455,0.463409,0,0.463409,0.01921,0.029124,
6,1950,2,0,0.000034,0.002014,0,0.002014,0.000264,0.000379,
6,1951,3,0,0,0.000413,0,0.000413,0.000009,0.00002,
6,1952,4,0,0,0.000562,0,0.000562,0.000051,0.000102,
6,1953,1,0,0.005902,0.604123,0.00022,0.604343,0.047564,0.08317,
6,1954,2,0,0,0.010692,0,0.010692,0.000146,0.000291,
6,1955,3,0,0,0.00018,0,0.00018,0.00003,0.0000591,
6,1956,4,0,0.000018,0.001115,0,0.001115,0.000039,0.000077,
6,1957,1,0,0.008359,0.98958,0.000144,0.989724,0.132852,0.209784,
6,1958,2,0,0.000027,0.003362,0.000023,0.003385,0.001269,0.001834,
6,1959,3,0,0,0.000165,0,0.000165,0.000029,0.0000628,
6,1960,4,0,0.000006,0.001469,0,0.001469,0.000123,0.000219,
6,1961,1,0,0.044481,1.195807,0.000509,1.196316,0.07,0.11507,
6,1962,2,0,0.00003,0.007257,0,0.007257,0.000566,0.000991,
6,1963,3,0,0,0.000956,0,0.000956,0.00004,7.06E-05,
6,1964,4,0,0,0.002812,0,0.002812,0.000159,0.000358,
6,1965,1,0,0.014161,1.652107,0.000821,1.652928,0.105393,0.194338,
