stk,yr,cyc,rec2,rec3,rec4,rec5,rec,eff,juv
1,1998,2,0,0.000002,0.024341,0.004349,0.02869,0.009332,NA
1,1999,3,0,0,0.025927,0.004639,0.030566,0.008189,NA
1,2000,4,0,0,0.132457,0.003417,0.135874,0.035333,NA
1,2001,1,0,0.000005,0.216279,0.035722,0.252001,0.082852,NA
1,2002,2,0,0,0.020266,0.0043,0.024566,0.012921,NA
1,2003,3,0,0,0.008431,0.001588,0.010019,0.006932,NA
1,2004,4,0,0,0.032387,0.005077198,0.037464198,0.005181,NA
1,2005,1,0,0.000049,0.076119303,0.007843862,0.083963164,0.051153,NA
1,2006,2,0,0,0.096013086,0.01060328,0.106616366,0.015914,NA
1,2007,3,0,0,0.010551212,0.000146711,0.010697922,0.002376,NA
1,2008,4,0,0.000001,0.183791609,0.009158711,0.19295032,0.014446,NA
1,2009,1,0,0.000003,0.172777765,0.030113412,0.202891177,0.021884,NA
1,2010,2,0,0.000053,0.191812703,0.026478597,0.2182913,0.034198,NA
1,2011,3,0,0.000003,0.002258977,0.000735,0.002993977,0.000233,NA
1,2012,4,NA,NA,NA,NA,NA,0.006812,NA
1,2013,1,NA,NA,NA,NA,NA,0.039658,NA
1,2014,2,NA,NA,NA,NA,NA,0.023298,NA
1,2015,3,NA,NA,NA,NA,NA,0.00406,NA
2,1948,4,0,0,0.000327,0,0.000327,NA,NA
2,1949,1,0,0.003433,1.526554,0,1.526554,0.039085,NA
2,1950,2,0,0.000591,0.036671,0.002419,0.03909,0.001834,NA
2,1951,3,0,0,0.056085,0.007559,0.063644,0.001246,NA
2,1952,4,0,0.000086,0.003858,0.000029,0.003887,0.000016,NA
2,1953,1,0,0.00083,1.548072,0.00147,1.549542,0.078686,NA
2,1954,2,0,0.00015,0.135111,0.002704,0.137815,0.002687,NA
2,1955,3,0,0.000029,0.050196,0.00112,0.051316,0.003274,NA
2,1956,4,0,0,0.013472,0.03263,0.046102,0.000466,NA
2,1957,1,0,0.000874,1.327094,0.001916,1.32901,0.300038,NA
2,1958,2,0,0.000672,0.053044,0.000961,0.054005,0.013152,NA
2,1959,3,0,0.000067,0.006092,0.001233,0.007325,0.00409,NA
2,1960,4,0,0.000027,0.006658,0.002932,0.00959,0.001307,NA
2,1961,1,0,0.000143,0.770385,0.007535,0.77792,0.194461,NA
2,1962,2,0,0.000045,0.043107,0.001917,0.045024,0.009073,NA
2,1963,3,0,0.000025,0.011911,0.000113,0.012024,0.001092,NA
2,1964,4,0,0.00006,0.001806,0.001235,0.003041,0.000824,NA
2,1965,1,0,0.000228,1.102448,0.021752,1.1242,0.122786,NA
2,1966,2,0,0.000274,0.071954,0.001851,0.073805,0.004164,NA
2,1967,3,0,0.000224,0.006294,0.010038,0.016332,0.000897,NA
2,1968,4,0,0,0.027393,0.003906,0.031299,0.000179,NA
2,1969,1,0,0.002756,1.602892,0.019888,1.62278,0.1143,NA
2,1970,2,0,0.000318,0.07052,0,0.07052,0.008027,NA
2,1971,3,0,0.001243,0.065527,0,0.065527,0.000725,NA
2,1972,4,0,0,0.01618,0.002586,0.018766,0.003411,NA
2,1973,1,0,0.00029,0.658158,0.005807,0.663965,0.116703,NA
2,1974,2,0,0.000855,0.048593,0.001268,0.049861,0.007371,NA
2,1975,3,0,0.000541,0.214097,0.000478,0.214575,0.005679,NA
2,1976,4,0,0,0.003339,0,0.003339,0.001674,NA
2,1977,1,0,0.000104,1.313861,0.043776,1.357637,0.075962,NA
2,1978,2,0,0.000699,0.06982,0.008928,0.078748,0.007115,NA
2,1979,3,0,0,0.006854,0,0.006854,0.016711,NA
2,1980,4,0,0,0.02144,0,0.02144,0.000287,NA
2,1981,1,0,0,1.97801,0.055891,2.033901,0.120124,NA
2,1982,2,0,0.000193,0.052097,0.008699,0.060796,0.008681,NA
2,1983,3,0,0,0.014195,0.003717,0.017912,0.001451,NA
2,1984,4,0,0.000222,0.014522,0,0.014522,0.000672,NA
2,1985,1,0,0.007755,3.367086,0.132788,3.499874,0.159048,NA
2,1986,2,0,0.000264,0.725126,0.091171,0.816297,0.015045,NA
2,1987,3,0,0.000984,0.283932,0.095155,0.379087,0.002392,NA
2,1988,4,0,0.001552,0.207234,0,0.207234,0.003638,NA
2,1989,1,0,0.020256,5.162734,0.144134,5.306868,0.327098,NA
2,1990,2,0,0.00044,0.372685,0.016654,0.389339,0.111747,NA
2,1991,3,0,0.000354,0.091441,0.017786,0.109227,0.0402,NA
2,1992,4,0,0,0.12897,0.006429,0.135399,0.012422,NA
2,1993,1,0,0.004082,3.249145,0.511029,3.760174,1.184283,NA
2,1994,2,0,0,0.108011,0.007429,0.11544,0.040705,NA
2,1995,3,0,0.001366,0.092713,0.039375,0.132088,0.017181,NA
2,1996,4,0,0.000607,0.810002,0.212391,1.022393,0.027297,NA
2,1997,1,0,0.000081,0.351715,0.079099,0.430814,0.415149,NA
2,1998,2,0,0.000312,0.26439,0.01256,0.27695,0.067834,NA
2,1999,3,0,0.000023,0.11752,0.016079,0.133599,0.0338,NA
2,2000,4,0,0.001827,0.868657,0.042459,0.911116,0.22624,NA
2,2001,1,0,0.000029,0.415504,0.08981,0.505314,0.179534,NA
2,2002,2,0,0.00002,0.121483,0.004449,0.125932,0.01782,NA
2,2003,3,0,0.000011,0.015962,0.00581,0.021772,0.019208,NA
2,2004,4,0,0.00022,0.263681,0.019016748,0.282697748,0.05131,NA
2,2005,1,0,0.000089,0.10460365,0.01497404,0.11957769,0.164548,NA
2,2006,2,0,0.000037,0.169236096,0.005275031,0.174511128,0.014283,NA
2,2007,3,0,0.000048,0.005160259,0.008534019,0.013694277,0.004144,NA
2,2008,4,0,0.000326,0.18324652,0.006667625,0.189914145,0.057881,NA
2,2009,1,0,0.00004,0.216742123,0.013637361,0.230379484,0.043271,NA
2,2010,2,0,0.000839,0.13504692,0.034987897,0.170034817,0.043476,NA
2,2011,3,0,0,0.003691344,0.00535,0.009041344,0.000778,NA
2,2012,4,NA,NA,NA,NA,NA,0.031771,NA
2,2013,1,NA,NA,NA,NA,NA,0.070946,NA
2,2014,2,NA,NA,NA,NA,NA,0.027869,NA
2,2015,3,NA,NA,NA,NA,NA,0.00435,NA
3,1948,4,0,0,0.185175,0.022002,0.207177,0.009242,NA
3,1949,1,0,0.000133,0.173402,0.006341,0.179743,0.040231,NA
3,1950,2,0,0.00463,0.903768,0.030719,0.934487,0.07741,NA
3,1951,3,0,0.000026,0.354049,0.101292,0.455341,0.051413,NA
3,1952,4,0,0.000023,0.093984,0.016694,0.110678,0.01992,NA
3,1953,1,0,0.00003,0.156192,0.018023,0.174215,0.020388,NA
3,1954,2,0,0.003311,1.140205,0.067783,1.207988,0.072273,NA
3,1955,3,0,0.000028,0.602677,0.027091,0.629768,0.029937,NA
3,1956,4,0,0.000092,0.2204,0.026243,0.246643,0.021686,NA
3,1957,1,0,0.000008,0.143835,0.008,0.151835,0.018044,NA
3,1958,2,0,0.001156,0.323089,0.016215,0.339304,0.061581,NA
3,1959,3,0,0.000017,0.514918,0.026485,0.541403,0.041872,NA
3,1960,4,0,0.000019,0.14334,0.021155,0.164495,0.022718,NA
3,1961,1,0,0.000288,0.137046,0.010068,0.147114,0.018136,NA
3,1962,2,0,0.0001,0.572029,0.017376,0.589405,0.044532,NA
3,1963,3,0,0.000977,0.713487,0.013462,0.726949,0.041535,NA
3,1964,4,0,0.000194,0.170674,0.006969,0.177643,0.016161,NA
3,1965,1,0,0.000179,0.2311,0.012372,0.243472,0.020479,NA
3,1966,2,0,0.000833,0.336316,0.022757,0.359073,0.051509,NA
3,1967,3,0,0.000288,0.531886,0.01835,0.550236,0.032467,NA
3,1968,4,0,0.000085,0.1259,0.003837,0.129737,0.01368,NA
3,1969,1,0,0.000131,0.235729,0.017385,0.253114,0.025629,NA
3,1970,2,0,0.00117,0.228808,0.00413,0.232938,0.026727,NA
3,1971,3,0,0.000496,0.508759,0,0.508759,0.020147,NA
3,1972,4,0,0.000204,0.711226,0.044784,0.75601,0.019938,NA
3,1973,1,0,0.000011,0.075813,0.010077,0.08589,0.015424,NA
3,1974,2,0,0.001823,0.281752,0.019534,0.301286,0.023718,NA
3,1975,3,0,0.003852,1.832708,0.064645,1.897353,0.068451,NA
3,1976,4,0,0.00015,0.216701,0.027506,0.244207,0.063865,NA
3,1977,1,0,0.000074,0.209138,0.056488,0.265626,0.010894,NA
3,1978,2,0,0.00086,0.388505,0.04804,0.436545,0.032528,NA
3,1979,3,0,0.000031,0.478737,0.145156,0.623893,0.152583,NA
3,1980,4,0,0.000207,0.535944,0.219255,0.755199,0.028477,NA
3,1981,1,0,0.000028,0.234136,0.051734,0.28587,0.01203,NA
3,1982,2,0,0.0019,0.309369,0.046504,0.355873,0.034888,NA
3,1983,3,0,0.001129,1.097744,0.158607,1.256351,0.061357,NA
3,1984,4,0,0.00017,0.744589,0.26643,1.011019,0.032672,NA
3,1985,1,0,0.000087,0.097659,0.030996,0.128655,0.021969,NA
3,1986,2,0,0.000023,0.445398,0.116424,0.561822,0.044564,NA
3,1987,3,0,0.000014,0.353471,0.082191,0.435662,0.098179,NA
3,1988,4,0,0.000158,0.566227,0.425114,0.991341,0.200537,NA
3,1989,1,0,0.000028,0.127212,0.095047,0.222259,0.015903,NA
3,1990,2,0,0.001145,0.861027,0.089664,0.950691,0.056537,NA
3,1991,3,0,0.000259,0.299039,0.037271,0.33631,0.054349,65.55888
3,1992,4,0,0.000275,0.734393,0.133793,0.868186,0.055138,53.022
3,1993,1,0,0.000013,0.068158,0.241673,0.309831,0.042861,49.77
3,1994,2,0,0.000127,0.593409,0.088649,0.682058,0.063584,39.866
3,1995,3,0,0.000075,0.127344,0.05654,0.183884,0.041135,21.233
3,1996,4,0,0.000016,0.635499,0.176479,0.811978,0.167624,36.942
3,1997,1,0,0,0.068515,0.056658,0.125173,0.023241,24.851
3,1998,2,0,0.000073,0.504421,0.133503,0.637924,0.096961,79.02
3,1999,3,0,0,0.143988,0.030474,0.174462,0.06608,24.681
3,2000,4,0,0,0.647582,0.070089,0.717671,0.195386,75.156
3,2001,1,0,0,0.20341,0.083718,0.287128,0.06159,48.435
3,2002,2,0,0.000047,0.224262,0.024066,0.248328,0.177618,60.29
3,2003,3,0,0.000005,0.034522,0.014605,0.049127,0.043829,30.593
3,2004,4,0,0.000153,0.213103,0.032646743,0.245749743,0.053755,NA
3,2005,1,0,0.000012,0.006640015,0.004885414,0.011525429,0.102247,NA
3,2006,2,0,0.000087,0.391375934,0.081433672,0.472809606,0.079834,NA
3,2007,3,0,0.00002,0.113252126,0.024678208,0.137930334,0.019626,NA
3,2008,4,0,0.000454,0.259519218,0.014452617,0.273971835,0.073798,NA
3,2009,1,0,0,0.151519373,0.047533591,0.199052964,0.01577,NA
3,2010,2,0,0.012308,1.441852257,0.129017383,1.57086964,0.109383,NA
3,2011,3,0,0,0.042845325,0.00914,0.051985325,0.025856,NA
3,2012,4,NA,NA,NA,NA,NA,0.050572,NA
3,2013,1,NA,NA,NA,NA,NA,0.05413,NA
3,2014,2,NA,NA,NA,NA,NA,0.240406,NA
3,2015,3,NA,NA,NA,NA,NA,0.047613,NA
4,1948,4,0,0,0.080266,0,0.080266,0.012826,NA
4,1949,1,0,0.000045,0.062746,0,0.062746,0.010744,NA
4,1950,2,0,0.00055,0.065365,0.009633,0.074998,0.007352,NA
4,1951,3,0,0.000378,0.103443,0,0.103443,0.010254,NA
4,1952,4,0,0.000008,0.036992,0.006304,0.043296,0.008632,NA
4,1953,1,0,0.000003,0.070599,0.004977,0.075576,0.005741,NA
4,1954,2,0,0.000652,0.062971,0.003293,0.066264,0.004566,NA
4,1955,3,0,0.000043,0.092623,0.004289,0.096912,0.004472,NA
4,1956,4,0,0,0.027586,0.01016,0.037746,0.003639,NA
4,1957,1,0,0,0.041008,0.000958,0.041966,0.006416,NA
4,1958,2,0,0.000043,0.017945,0.000167,0.018112,0.008308,NA
4,1959,3,0,0.000011,0.056454,0.0054,0.061854,0.014614,NA
4,1960,4,0,0.000004,0.017278,0.000451,0.017729,0.003525,NA
4,1961,1,0,0,0.026835,0.001313,0.028148,0.00368,NA
4,1962,2,0,0.000006,0.018822,0.002499,0.021321,0.003219,NA
4,1963,3,0,0.000028,0.204973,0.009315,0.214288,0.011467,NA
4,1964,4,0,0,0.025416,0.002091,0.027507,0.00069,NA
4,1965,1,0,0.00005,0.01677,0.001029,0.017799,0.00117,NA
4,1966,2,0,0,0.021196,0.001053,0.022249,0.001151,NA
4,1967,3,0,0.000124,0.193857,0.012513,0.20637,0.013991,NA
4,1968,4,0,0,0.037393,0.00615,0.043543,0.00171,NA
4,1969,1,0,0,0.016003,0.001208,0.017211,0.001936,NA
4,1970,2,0,0.000371,0.015826,0,0.015826,0.000497,NA
4,1971,3,0,0,0.124161,0.000346,0.124507,0.010761,NA
4,1972,4,0,0,0.01686,0.000111,0.016971,0.001969,NA
4,1973,1,0,0,0.010538,0.000124,0.010662,0.002012,NA
4,1974,2,0,0,0.015702,0.001729,0.017431,0.001046,NA
4,1975,3,0,0.000122,0.121742,0.000634,0.122376,0.014735,NA
4,1976,4,0,0,0.007112,0,0.007112,0.001069,NA
4,1977,1,0,0,0.005875,0.009521,0.015396,0.001214,NA
4,1978,2,0,0,0.039903,0.000724,0.040627,0.001678,NA
4,1979,3,0,0,0.015714,0.01427,0.029984,0.016178,NA
4,1980,4,0,0,0.039381,0.005789,0.04517,0.001376,NA
4,1981,1,0,0,0.014724,0.001808,0.016532,0.000562,NA
4,1982,2,0,0,0.003066,0.002211,0.005277,0.00099,NA
4,1983,3,0,0.000017,0.036597,0.001535,0.038132,0.003484,NA
4,1984,4,0,0.000012,0.044712,0.005879,0.050591,0.004909,NA
4,1985,1,0,0,0.016449,0.002728,0.019177,0.00303,NA
4,1986,2,0,0,0.020562,0.000636,0.021198,0.001396,NA
4,1987,3,0,0.000132,0.018171,0.004289,0.02246,0.00566,NA
4,1988,4,0,0,0.011669,0.001381,0.01305,0.007405,NA
4,1989,1,0,0,0.004945,0.007897,0.012842,0.001367,NA
4,1990,2,0,0,0.018847,0.012283,0.03113,0.005065,NA
4,1991,3,0,0.000114,0.047542,0.001083,0.048625,0.00246,NA
4,1992,4,0,0.000014,0.010556,0.002313,0.012869,0.001117,NA
4,1993,1,0,0,0.016961,0.003506,0.020467,0.000592,NA
4,1994,2,0,0,0.006743,0.004106,0.010849,0.001845,NA
4,1995,3,0,0.00004,0.025092,0.002259,0.027351,0.013467,NA
4,1996,4,0,0,0.020695,0.006081,0.026776,0.004055,NA
4,1997,1,0,0,0.001335,0.003689,0.005024,0.002119,NA
4,1998,2,0,0,0.011272,0.005729,0.017001,0.00283,NA
4,1999,3,0,0,0.019734,0,0.019734,0.003295,NA
4,2000,4,0,0,0.023887,0.001396,0.025283,0.00672,NA
4,2001,1,0,0,0.004433,0.002392,0.006825,0.002752,NA
4,2002,2,0,0,0.007279,0.000395,0.007674,0.004505,NA
4,2003,3,0,0,0.003702,0.00009,0.003792,0.003038,NA
4,2004,4,0,0,0.003008,0.00308248,0.00609048,0.000458,NA
4,2005,1,0,0,0.001876292,0.000382325,0.002258617,0.000866,NA
4,2006,2,0,0,0.014783217,0.002639654,0.017422871,0.000636,NA
4,2007,3,0,0,0.008358904,1.95E-05,0.008378419,0.001075,NA
4,2008,4,0,0,0.00023418,0.000547969,0.000782149,0.000275,NA
4,2009,1,0,0,0.004968249,0.001241236,0.006209484,0.000843,NA
4,2010,2,0,0.000023,0.023583475,0.003044102,0.026627577,0.004095,NA
4,2011,3,0,0,0.005197248,0.000961,0.006158248,0.002037,NA
4,2012,4,NA,NA,NA,NA,NA,0.00003,NA
4,2013,1,NA,NA,NA,NA,NA,0.001924,NA
4,2014,3,NA,NA,NA,NA,NA,0.006252,NA
4,2015,4,NA,NA,NA,NA,NA,0.002211,NA
5,1948,4,0,0,0.062653,0.000684,0.063337,0.005524,NA
5,1949,1,0,0,0.036748,0.002878,0.039626,0.002109,NA
5,1950,2,0,0.000017,0.039549,0.00599,0.045539,0.001917,NA
5,1951,3,0,0.000008,0.034636,0.013009,0.047645,0.003364,NA
5,1952,4,0,0.000005,0.046167,0.00501,0.051177,0.005116,NA
5,1953,1,0,0,0.030285,0.001839,0.032124,0.0036,NA
5,1954,2,0,0.000231,0.038964,0.011293,0.050257,0.005352,NA
5,1955,3,0,0.000007,0.052497,0.00786,0.060357,0.002905,NA
5,1956,4,0,0,0.017335,0.008029,0.025364,0.005179,NA
5,1957,1,0,0.000072,0.018932,0.002011,0.020943,0.003314,NA
5,1958,2,0,0.000023,0.022591,0.000512,0.023103,0.006235,NA
5,1959,3,0,0,0.020417,0.003167,0.023584,0.005232,NA
5,1960,4,0,0.000064,0.014715,0.002049,0.016764,0.002252,NA
5,1961,1,0,0.000032,0.022139,0.002154,0.024293,0.003014,NA
5,1962,2,0,0,0.037568,0.002981,0.040549,0.004197,NA
5,1963,3,0,0.000018,0.00909,0.000265,0.009355,0.002693,NA
5,1964,4,0,0.000081,0.040283,0.008228,0.048511,0.002666,NA
5,1965,1,0,0.000073,0.018867,0.001686,0.020553,0.002669,NA
5,1966,2,0,0.00032,0.020483,0.002736,0.023219,0.002666,NA
5,1967,3,0,0.000037,0.008226,0.001395,0.009621,0.000358,NA
5,1968,4,0,0.000098,0.100888,0.005411,0.106299,0.003455,NA
5,1969,1,0,0.000381,0.010279,0.00371,0.013989,0.002577,NA
5,1970,2,0,0.000037,0.0083,0.000523,0.008823,0.001205,NA
5,1971,3,0,0.000033,0.00957,0.002116,0.011686,0.000223,NA
5,1972,4,0,0.000087,0.056973,0.000761,0.057734,0.004507,NA
5,1973,1,0,0.000022,0.001616,0.007723,0.009339,0.001345,NA
5,1974,2,0,0.000206,0.011541,0.000476,0.012017,0.001479,NA
5,1975,3,0,0.000007,0.005632,0.000797,0.006429,0.001391,NA
5,1976,4,0,0.000056,0.018539,0.001331,0.01987,0.003976,NA
5,1977,1,0,0,0.002728,0.003189,0.005917,0.000198,NA
5,1978,2,0,0.000253,0.011888,0.006562,0.01845,0.001343,NA
5,1979,3,0,0,0.001183,0.001856,0.003039,0.000693,NA
5,1980,4,0,0.000112,0.047827,0.003784,0.051611,0.002056,NA
5,1981,1,0,0.000029,0.007366,0.001244,0.00861,0.000312,NA
5,1982,2,0,0,0.002509,0.001233,0.003742,0.001533,NA
5,1983,3,0,0.000038,0.002855,0.001196,0.004051,0.001821,NA
5,1984,4,0,0.000325,0.032692,0.014038,0.04673,0.006701,NA
5,1985,1,0,0.000007,0.00283,0.001591,0.004421,0.001922,NA
5,1986,2,0,0,0.002902,0.000111,0.003013,0.00108,NA
5,1987,3,0,0,0.001399,0.002421,0.00382,0.000723,NA
5,1988,4,0,0,0.041783,0.008304,0.050087,0.009207,NA
5,1989,1,0,0.000007,0.007357,0.003935,0.011292,0.000925,NA
5,1990,2,0,0,0.00161,0.000934,0.002544,0.000412,NA
5,1991,3,0,0,0.000908,0.000553,0.001461,0.000264,NA
5,1992,4,0,0.000006,0.065321,0.002024,0.067345,0.004112,NA
5,1993,1,0,0.000024,0.022386,0.010727,0.033113,0.002934,NA
5,1994,2,0,0,0.004738,0.022745,0.027483,0.0008,NA
5,1995,3,0,0.000041,0.022745,0.004484,0.027229,0.000682,NA
5,1996,4,0,0,0.089315,0.022684,0.111999,0.021381,NA
5,1997,1,0,0,0.025983,0.025281,0.051264,0.002367,NA
5,1998,2,0,0.000008,0.004905,0.011325,0.01623,0.003585,NA
5,1999,3,0,0.000092,0.026426,0.034631,0.061057,0.003499,NA
5,2000,4,0,0.000053,0.107671,0.007672,0.115343,0.027668,NA
5,2001,1,0,0,0.079275,0.016425,0.0957,0.016025,NA
5,2002,2,0,0.000045,0.021369,0.021419,0.042788,0.008402,NA
5,2003,3,0,0,0.002439,0.00593,0.008369,0.00489,NA
5,2004,4,0,0.000004,0.039136,0.008848711,0.047984711,0.003244,NA
5,2005,1,0,0,0.006441341,0.00245384,0.008895181,0.016967,NA
5,2006,2,0,0,0.00718197,0.00965152,0.01683349,0.003442,NA
5,2007,3,0,0,0.006256848,0.004426859,0.010683707,0.008064,NA
5,2008,4,0,0.000002,0.014789734,0.003640755,0.018430489,0.003562,NA
5,2009,1,0,0.000005,0.019972142,0.01521795,0.035190092,0.006039,NA
5,2010,2,0,0.000026,0.038268668,0.005849682,0.04411835,0.002389,NA
5,2011,3,0,0.000024,0.017945634,0.004859,0.022804634,0.00443,NA
5,2012,4,NA,NA,NA,NA,NA,0.00171,NA
5,2013,1,NA,NA,NA,NA,NA,0.009045,NA
5,2014,2,NA,NA,NA,NA,NA,0.009471,NA
5,2015,3,NA,NA,NA,NA,NA,0.008794,NA
6,1948,4,0,0,0.000618,0,0.000618,0.000048,NA
6,1949,1,0,0.022455,0.463409,0,0.463409,0.01921,NA
6,1950,2,0,0.000034,0.002014,0,0.002014,0.000264,NA
6,1951,3,0,0,0.000413,0,0.000413,0.000009,NA
6,1952,4,0,0,0.000562,0,0.000562,0.000051,NA
6,1953,1,0,0.005902,0.604123,0.00022,0.604343,0.047564,NA
6,1954,2,0,0,0.010692,0,0.010692,0.000146,NA
6,1955,3,0,0,0.00018,0,0.00018,0.00003,NA
6,1956,4,0,0.000018,0.001115,0,0.001115,0.000039,NA
6,1957,1,0,0.008359,0.98958,0.000144,0.989724,0.132852,NA
6,1958,2,0,0.000027,0.003362,0.000023,0.003385,0.001269,NA
6,1959,3,0,0,0.000165,0,0.000165,0.000029,NA
6,1960,4,0,0.000006,0.001469,0,0.001469,0.000123,NA
6,1961,1,0,0.044481,1.195807,0.000509,1.196316,0.07,NA
6,1962,2,0,0.00003,0.007257,0,0.007257,0.000566,NA
6,1963,3,0,0,0.000956,0,0.000956,0.00004,NA
6,1964,4,0,0,0.002812,0,0.002812,0.000159,NA
6,1965,1,0,0.014161,1.652107,0.000821,1.652928,0.105393,NA
6,1966,2,0,0.000028,0.007038,0.000396,0.007434,0.00104,NA
6,1967,3,0,0.000011,0.00175,0,0.00175,0.000024,NA
6,1968,4,0,0,0.000428,0,0.000428,0.000333,NA
6,1969,1,0,0.006413,1.626582,0.007768,1.63435,0.076565,NA
6,1970,2,0,0,0.020339,0,0.020339,0.000388,NA
6,1971,3,0,0,0.000747,0,0.000747,0.000016,NA
6,1972,4,0,0.000009,0.000856,0,0.000856,0.000046,NA
6,1973,1,0,0.005114,2.326864,0.003929,2.330793,0.112414,NA
6,1974,2,0,0.000021,0.029304,0.00157,0.030874,0.002587,NA
6,1975,3,0,0,0.001865,0,0.001865,0.000105,NA
6,1976,4,0,0,0.001233,0,0.001233,0.000209,0.1144
6,1977,1,0,0.008446,3.810786,0.054029,3.864815,0.160717,49.6
6,1978,2,0,0.000142,0.186073,0.010473,0.196546,0.004349,NA
6,1979,3,0,0,0.002103,0.003908,0.006011,0.000238,NA
6,1980,4,0,0,0.002446,0,0.002446,0.000098,NA
6,1981,1,0,0.019608,9.553856,0.213188,9.767044,0.33229,67.58437134
6,1982,2,0,0,0.499074,0.056312,0.555386,0.020054,NA
6,1983,3,0,0.000033,0.031515,0.008864,0.040379,0.001098,NA
6,1984,4,0,0.000085,0.006868,0,0.006868,0.000551,NA
6,1985,1,0,0.028135,12.137664,0.334171,12.471835,0.692799,46.51545387
6,1986,2,0,0.000041,2.364628,0.168115,2.532743,0.094792,14.68396132
6,1987,3,0,0.000011,0.119437,0.057144,0.176581,0.011238,11.00922524
6,1988,4,0,0,0.026342,0,0.026342,0.004185,NA
6,1989,1,0,0.010417,10.339444,0.280053,10.619497,0.942522,58.01335528
6,1990,2,0,0.000585,2.946813,0.336236,3.283049,0.259553,5.244447045
6,1991,3,0,0.000026,0.100196,0.050671,0.150867,0.024861,12.29105445
6,1992,4,0,0.000001,0.029213,0,0.029213,0.003046,NA
6,1993,1,0,0.001642,6.446036,0.398551,6.844587,1.50735,62.55041577
6,1994,2,0,0.000248,2.263471,0.212902,2.476373,0.356251,16.75337446
6,1995,3,0,0,0.119078,0.048228,0.167306,0.116867,NA
