"stk","alpha","beta0","beta1","beta2","beta3","sigma","deviance"
1,1.91812481674003,0.844323797158614,2.52105405697713,2.37731732090481,1.87352172452204,0.76140235550084,-2598.35483247961
1,1.65915246277734,0.947936073502311,1.77411153480264,2.10157038521768,1.2835186138875,0.730543629430294,-2597.96329676859
1,1.99971039306685,1.98909412629651,3.13721349472821,1.54122018419526,2.20563149914619,0.735241553971177,-2598.74611870908
1,1.6495932355314,1.08684501949544,2.24176352715224,0.582329995600815,1.73846473568275,0.857912480642168,-2587.51071773394
1,1.60294544158576,0.907524507205986,3.00385360963271,1.67920142477319,0.880271225074511,0.713722563603459,-2569.21997310158
1,1.72335179359126,0.905616386696277,2.10669780320357,1.58153586639213,0.99946345049508,0.650800473644649,-2591.08343543824
1,1.88095469539122,1.34023779687015,1.47565024401877,2.34499304315495,0.174483226069486,0.791080119398644,-2568.00162837009
1,1.58788859649904,2.68605727936178,1.10315229468674,1.15891434065301,1.03300810402951,0.771870873921472,-2589.54564074412
1,1.74057344663661,1.84142384135857,2.48514595155723,0.030359612319188,0.914741215254707,0.813114890961163,-2594.86240631958
1,1.71900962338772,1.28531562536898,2.06521923758438,0.592741335307493,0.709150596334304,0.753975465707129,-2563.75772067446
1,2.05534561560324,3.27599743027244,2.23660098050246,2.76033978102719,1.38498723480793,0.769541725080254,-2599.18568164204
1,1.82122829248293,0.677804297117652,3.02916769785693,2.13552584370362,0.896629382838717,0.675575598503067,-2588.23777530617
1,2.05411934173076,1.97721687410798,1.78417155681305,2.43007247851892,1.41666382278011,0.905007387522505,-2591.19908448912
1,1.66728859003625,0.566682522082036,2.96433636305853,0.647159371056159,0.925437701582215,0.911165943857905,-2573.17323490596
1,1.45385330810942,0.821689196209979,1.57431314144289,1.24728205403719,0.433254883055533,0.740962939630298,-2573.37776931219
1,1.94947372659946,1.60619998970105,3.28573409214267,1.64376799617679,1.68380594304236,0.6944653994415,-2589.41083545181
1,1.72119062600293,1.24042366635342,1.67539086222547,2.68078856949435,0.26437284257388,0.88173312105775,-2607.44076180271
1,1.71501580302651,0.725332717181533,2.42961084582267,2.40919777480234,0.185966701766243,0.719589823376452,-2596.93047043956
1,2.04832240883076,1.37613631226933,3.55491868354928,2.64204159248364,1.00338430533819,0.695834569341737,-2571.52281887904
1,1.98288373453075,2.26506249200923,3.61643515910992,1.80212254918117,0.699557628704226,0.769581270655389,-2570.86526018813
1,1.7703388042453,0.556156986427105,4.23893683059225,0.699136704047046,0.499534551030162,0.775235911364709,-2591.4834631679
1,1.77868981255255,0.536329533132054,2.78768771481219,2.27776477570609,0.373516435730802,0.680638849563677,-2578.91287962893
